"Supplementary Table 8b: Consensus clustering - Cophenetic Coeeficient for k=4 to k=10 clusters, Membership of each sample in k=5 and Silhouette Values "										
k	Cophenetic Coeeficient			individual_id	Cluster			SampleName	Cluster	silhouetteValue
4	0.8827			DLBCL_P01	1			DLBCL_P01	1	0.101019282
5	0.94			DLBCL_P02	0			DLBCL_P04	1	0.008386977
6	0.9224			DLBCL_P03	2			DLBCL_P10	1	0.007310236
7	0.917			DLBCL_P04	1			DLBCL-BWH_DLBCL64	1	0.01610987
8	0.8943			DLBCL_P07	0			DLBCL-c_D_1106	1	0.071463249
9	0.8891			DFCIDL008	5			DLBCL-c_D_1112	1	0.13696341
10	0.8747			DFCIDL009	3			DLBCL-c_D_1114	1	0.04757425
				DLBCL_P10	1			DLBCL-c_D_1115	1	0.066151406
				DLBCL-BWH_DLBCL64	1			DLBCL-c_D_1123	1	0.074491279
				DLBCL-c_D_1103	4			DLBCL-c_D_1128	1	0.008671592
				DLBCL-c_D_1104	5			DLBCL-c_D_1129	1	0.079006487
				DLBCL-c_D_1105	5			DLBCL-c_D_1130	1	-0.070629049
				DLBCL-c_D_1106	1			DLBCL-c_D_1132	1	-0.004309129
				DLBCL-c_D_1107	4			DLBCL-c_D_1134	1	0.057742977
				DLBCL-c_D_1108	2			DLBCL-c_D_1146	1	0.17658907
				DLBCL-c_D_1109	4			DLBCL-c_D_1154	1	0.055419208
				DLBCL-c_D_1110	3			DLBCL-c_D_1155	1	-0.017276088
				DLBCL-c_D_1111	2			DLBCL-c_D_1156	1	0.071403288
				DLBCL-c_D_1112	1			DLBCL-c_D_1158	1	0.146498868
				DLBCL-c_D_1113	3			DLBCL-c_D_pair2	1	-0.014990474
				DLBCL-c_D_1114	1			DLBCL-c_D_pair22	1	-0.01230353
				DLBCL-c_D_1115	1			DLBCL-c_D_pair23	1	-0.072033654
				DLBCL-c_D_1117	2			DLBCL-LS1757	1	-0.100861819
				DLBCL-c_D_1118	2			DLBCL-LS2154	1	0.077064481
				DLBCL-c_D_1119	2			DLBCL-LS2367	1	-0.045547989
				DLBCL-c_D_1120	5			DLBCL-LS2595	1	0.151320712
				DLBCL-c_D_1121	4			DLBCL-LS2978	1	0.127993496
				DLBCL-c_D_1123	1			DLBCL-LS378	1	0.182654849
				DLBCL-c_D_1124	5			DLBCL-LS3809	1	0.052553653
				DLBCL-c_D_1125	5			DLBCL-LS3866	1	0.244536321
				DLBCL-c_D_1126	2			DLBCL-LS4323	1	0.144005144
				DLBCL-c_D_1127	3			DLBCL-LS4394	1	0.10856488
				DLBCL-c_D_1128	1			DLBCL-MAYO_DLBCL_5613	1	0.147796483
