pair_id	case_sample	control_sample	ploidy_absolute_reviewed
DFCIDL001_DT	DLBCL_P01_p_to_r-Dx	DFCIDL001_DT-NULL-Normal	1.992070
DFCIDL002_DT	DLBCL_P02_p_to_r-Dx	DFCIDL002_DT-NULL-Normal	1.955336
DFCIDL003_DT	DLBCL_P03_p_to_r-Dx	DFCIDL003_DT-NULL-Normal	3.367860
DFCIDL004_DT	DLBCL_P04_p_to_r-Dx	DFCIDL004_DT-NULL-Normal	1.954871
DFCIDL007_DT	DLBCL_P07_p_to_r-Dx	DFCIDL007_DT-NULL-Normal	1.994362
DFCIDL008_DT	DFCIDL008-Tumor-SM-1Q69K	DFCIDL008_DT-NULL-Normal	1.988700
DFCIDL009_DT	DFCIDL009-Tumor-SM-1Q69N	DFCIDL009_DT-NULL-Normal	2.223360
DFCIDL010_DT	DLBCL_P10_p_to_r-Dx	DFCIDL010_DT-NULL-Normal	1.982750
DLBCL_BWH_DLBCL64	DLBCL-BWH_DLBCL64-Tumor-SM-18DHC	DLBCL-BWH_DLBCL64-NULL-Normal	2.121584
DLBCL_C_D_1103_NULLPAIR	DLBCL-c_D_1103-Tumor	NULL-DLBCL-c_D_1103	1.978458
DLBCL_C_D_1104_NULLPAIR	DLBCL-c_D_1104-Tumor	NULL-DLBCL-c_D_1104	1.956565
DLBCL_C_D_1105_NULLPAIR	DLBCL-c_D_1105-Tumor	NULL-DLBCL-c_D_1105	1.949377
DLBCL_C_D_1106_NULLPAIR	DLBCL-c_D_1106-Tumor	NULL-DLBCL-c_D_1106	1.949321
DLBCL_C_D_1107_NULLPAIR	DLBCL-c_D_1107-Tumor	NULL-DLBCL-c_D_1107	2.085435
DLBCL_C_D_1108_NULLPAIR	DLBCL-c_D_1108-Tumor	NULL-DLBCL-c_D_1108	3.382568
DLBCL_C_D_1109_NULLPAIR	DLBCL-c_D_1109-Tumor	NULL-DLBCL-c_D_1109	2.005768
DLBCL_C_D_1110_NULLPAIR	DLBCL-c_D_1110-Tumor-SM-18DFV	NULL-DLBCL-c_D_1110	2.022804
DLBCL_C_D_1111_NULLPAIR	DLBCL-c_D_1111-Tumor	NULL-DLBCL-c_D_1111	1.895095
DLBCL_C_D_1112_NULLPAIR	DLBCL-c_D_1112-Tumor	NULL-DLBCL-c_D_1112	2.054806
DLBCL_C_D_1113_NULLPAIR	DLBCL-c_D_1113-Tumor	NULL-DLBCL-c_D_1113	1.977759
DLBCL_C_D_1114_NULLPAIR	DLBCL-c_D_1114-Tumor	NULL-DLBCL-c_D_1114	2.004289
DLBCL_C_D_1115_NULLPAIR	DLBCL-c_D_1115-Tumor	NULL-DLBCL-c_D_1115	1.897554
DLBCL_C_D_1117_NULLPAIR	DLBCL-c_D_1117-Tumor	NULL-DLBCL-c_D_1117	1.899320
DLBCL_C_D_1118_NULLPAIR	DLBCL-c_D_1118-Tumor	NULL-DLBCL-c_D_1118	1.866031
DLBCL_C_D_1119_NULLPAIR	DLBCL-c_D_1119-Tumor	NULL-DLBCL-c_D_1119	3.773040
DLBCL_C_D_1120_NULLPAIR	DLBCL-c_D_1120-Tumor	NULL-DLBCL-c_D_1120	1.903535
DLBCL_C_D_1121_NULLPAIR	DLBCL-c_D_1121-Tumor	NULL-DLBCL-c_D_1121	4.070000
DLBCL_C_D_1123_NULLPAIR	DLBCL-c_D_1123-Tumor	NULL-DLBCL-c_D_1123	2.080274
DLBCL_C_D_1124_NULLPAIR	DLBCL-c_D_1124-Tumor	NULL-DLBCL-c_D_1124	2.055596
DLBCL_C_D_1125_NULLPAIR	DLBCL-c_D_1125-Tumor	NULL-DLBCL-c_D_1125	2.052738
DLBCL_C_D_1126_NULLPAIR	DLBCL-c_D_1126-Tumor	NULL-DLBCL-c_D_1126	2.070688
