SampleName	cluster	silhouetteValue
SampleName	cluster	silhouetteValue
DLBCL11470	1	0.0776177455471779
DLBCL10462	1	0.119958023318643
DLBCL11482	1	0.100205421847207
DLBCL11590	1	0.111873694530619
DLBCL11578	1	0.173417981685198
DLBCL10945	1	0.0184947675462068
DLBCL10542	1	0.281318163149448
DLBCL10545	1	0.0569087523653014
DLBCL11506	1	0.0378988537784662
DLBCL10782	1	-0.0181456555635462
DLBCL11457	1	-0.0605411198622307
DLBCL11663	1	0.0620998160959732
DLBCL11501	1	-0.0123622483446495
DLBCL11461	1	0.195823882337895
DLBCL10482	1	-0.0409724902645853
DLBCL11477	1	0.0131872124350199
DLBCL10957	1	-0.0339649268548072
DLBCL10896	1	-0.0249426199865786
DLBCL11509	1	-0.00272432106295149
DLBCL11662	1	0.104052271264951
DLBCL11488	1	0.100320768435109
DLBCL10525	1	0.0448804352237658
DLBCL11480	1	-0.00638706958785064
DLBCL10492	1	-0.0364752639526647
DLBCL10931	1	0.00501180484770169
DLBCL10972	1	-0.00767481462822935
DLBCL10928	1	-0.0194413634979842
DLBCL11462	1	0.0335654628887644
DLBCL10488	1	0.0949258532240213
DLBCL11519	1	-0.057287057753382
DLBCL10993	1	0.23250063210398
DLBCL11205	1	0.0639301374992005
DLBCL10927	1	0.0571838443917193
DLBCL11681	1	-0.00113122092483307
DLBCL10950	1	0.135379214129157
DLBCL11652	1	0.0271216950153269
DLBCL10458	1	0.0560870338985327
DLBCL10548	1	0.155190312310198
DLBCL10897	1	-0.0157848943591111
DLBCL11468	1	0.127318142456675
DLBCL11481	1	0.0364424611055145
DLBCL11677	1	0.0408765305140972
DLBCL11441	1	0.157465957026238
DLBCL10495	1	0.0458616413512656
DLBCL10986	1	-0.020878937422705
DLBCL10869	1	0.0788404794811725
DLBCL11435	1	-0.00503871763874819
DLBCL10918	1	0.103661300951963
DLBCL10506	1	0.205597653229675
DLBCL10894	1	-0.00981557630109205
DLBCL10912	1	-0.0457051055372305
DLBCL11537	1	0.0931467824048716
DLBCL10515	1	0.173405487588785
DLBCL11496	1	0.0326407698215912
DLBCL11508	1	-0.0119053471680523
DLBCL10975	1	0.187935486439419
DLBCL10877	1	-0.0314793012708417
DLBCL11434	1	0.146796485841856
DLBCL11671	1	0.194204799386723
DLBCL10878	1	0.0129322363131299
DLBCL11472	1	0.125510825710158
DLBCL10884	1	0.143905447841084
DLBCL10509	1	0.0660050428859323
DLBCL11523	1	0.153599925685213
DLBCL11432	1	0.0132347383274072
DLBCL11437	1	0.0914366067514696
DLBCL11486	1	0.188236682612052
DLBCL10451	1	0.0220874228871925
DLBCL11520	1	0.103520474882073
DLBCL11454	1	0.0455525330236032
DLBCL10969	1	0.0458696449593238
DLBCL11467	1	0.101328518349986
DLBC_FF_A7CX_TP_NB	1	0.156339344487756
DLBCL11430	1	0.0480850816696457
DLBCL10953	1	0.0432495762311277
DLBCL11445	1	0.0215861580122701
DLBCL11474	1	0.0521212266306755
DLBCL11518	1	-0.0473040039638368
DLBCL10843	1	0.172186288742846
DLBCL10959	1	0.0367347057824527
DLBCL10942	1	-0.0355834171273772
DLBCL11676	1	-0.0797466545488421
DLBCL10490	1	0.0346893063971677
DLBCL11511	1	0.0566468906676451
DLBCL10935	1	0.0250612079922615
DLBCL10546	1	0.127915691291805
DLBCL10913	1	0.128328681809335
DLBCL10844	1	-0.00869165980341301
DLBCL10996	1	-0.00247523400000063
DLBCL11539	1	0.0220046067122339
DLBCL11452	1	0.0933581002109957
DLBCL11512	1	0.0747480535306679
DLBCL11443	1	0.032080578368224
DLBCL11586	1	-0.058602645778858
DLBCL10875	1	-0.027204998904182
DLBCL10997	1	0.0289720457966793
DLBCL11473	1	0.00818569053669722
DLBCL11478	1	0.171703023439209
DLBCL11191	1	-0.0980467481822789
DLBCL10998	1	0.12831955275648
DLBCL10900	2	0.197756250544717
DLBC_FF_A7CQ_TP_NB	2	0.0635848457235569
DLBCL10881	2	0.0224594319844289
DLBCL10977	2	0.0241686412643378
DLBCL10899	2	0.132753845871362
