cluster	silhouetteValue
DFCIDL001_DT	1	0.0952017951077155
DFCIDL010_DT	1	0.0427330574554972
DLBCL_BWH_DLBCL64	1	-0.00529585557540888
DLBCL_C_D_1106_NULLPAIR	1	0.0124249845841259
DLBCL_C_D_1112_NULLPAIR	1	0.0917841975918493
DLBCL_C_D_1114_NULLPAIR	1	0.133414896198638
DLBCL_C_D_1115_NULLPAIR	1	0.0656855326250254
DLBCL_C_D_1123_NULLPAIR	1	0.0638089291557508
DLBCL_C_D_1128_NULLPAIR	1	0.112677192620828
DLBCL_C_D_1129_NULLPAIR	1	0.00977367575876176
DLBCL_C_D_1130_NULLPAIR	1	0.0859967511827299
DLBCL_C_D_1134_NULLPAIR	1	-0.0722602972047598
DLBCL_C_D_1146_NULLPAIR	1	0.0714245173481635
DLBCL_C_D_1154_NULLPAIR	1	0.0518430759101742
DLBCL_C_D_1155_NULLPAIR	1	0.183980172399028
DLBCL_C_D_1156_NULLPAIR	1	0.0508818836065094
DLBCL_C_D_1158_NULLPAIR	1	-0.0108293607721514
DLBCL_C_D_PAIR2	1	0.0703169582246004
DLBCL_C_D_PAIR23	1	0.166235960645602
DLBCL_LS1757	1	-0.0190046658414586
DLBCL_LS2595	1	-0.00954361729726122
DLBCL_LS2978	1	-0.075075513718532
DLBCL_LS378	1	-0.0357651050356677
DLBCL_LS3809	1	0.0705543586135783
DLBCL_LS4323	1	-0.0733527155003697
DLBCL_LS4394	1	0.140217028003692
DLBCL_MAYO_DLBCL_5613	1	0.143281313776715
DLBCL_MC_F132_MLM	1	0.201142253776243
DLBCL_MC_F139_AD	1	0.0313695378363597
DLBCL_MC_F262_WLC	1	0.262561200594361
DLBCL_MC_F300_TBF	1	0.142894139426767
DLBCL_MC_F307_JPS	1	0.118759443414504
DLBCL_MC_F496DMP	1	0.140117319810166
DLBCL_MC_F648_JKW	1	-0.0144742219297572
DLBCL_RICOVER_111	1	0.0332784597688625
DLBCL_RICOVER_1144	1	0.235741124125082
DLBCL_RICOVER_1150	1	0.0954280951754028
DLBCL_RICOVER_1165	1	-0.0296218438001481
DLBCL_RICOVER_120	1	0.120700898101035
DLBCL_RICOVER_181	1	-0.0213517171507063
DLBCL_RICOVER_258	1	-0.0144724592111517
DLBCL_RICOVER_290	1	0.0513491424671381
DLBCL_RICOVER_451	1	0.219230038252159
DLBCL_RICOVER_473	1	0.0979338788927307
DLBCL_RICOVER_478	1	0.0750190957779441
DLBCL_RICOVER_694	1	-0.0022923223169475
DLBCL_RICOVER_826	1	-0.0464601880890228
DLBCL_RICOVER_829	1	0.011686876177793
DLBCL_RICOVER_865	1	-0.0308669960577592
DLBCL_RICOVER_910	1	0.0260833173229209
DLBCL_RICOVER_945	1	-0.00271840448105911
DLBCL_RICOVER_977	1	0.0684526601162317
DFCIDL003_DT	2	-0.0155846615645811
DLBCL_C_D_1108_NULLPAIR	2	0.0266226175715831
DLBCL_C_D_1111_NULLPAIR	2	0.143559155444855
DLBCL_C_D_1117_NULLPAIR	2	0.16379960256658
DLBCL_C_D_1118_NULLPAIR	2	0.141394226909082
DLBCL_C_D_1119_NULLPAIR	2	0.0760276645433497
DLBCL_C_D_1126_NULLPAIR	2	-0.0372760994418795
DLBCL_C_D_1131_NULLPAIR	2	0.0161756680923664
DLBCL_C_D_1135_NULLPAIR	2	0.137207758631951
DLBCL_C_D_1136_NULLPAIR	2	0.128626574806516
DLBCL_C_D_1149_NULLPAIR	2	-0.0109124713596483
DLBCL_C_D_1152_NULLPAIR	2	-0.008689928508934
DLBCL_C_D_PAIR13	2	-0.0162158896900185
DLBCL_C_D_PAIR22	2	-0.0544502514993285
DLBCL_C_D_PAIR5	2	-0.00727198186853891
DLBCL_C_D_PAIR9	2	-0.0323737192309428
DLBCL_DFCI_DLBCL_GOE07	2	0.0757051660828821
DLBCL_LS1065	2	0.0612766055567602
DLBCL_LS146	2	0.0583979081324793
DLBCL_LS1668	2	0.0691124552715266
DLBCL_LS1921	2	0.310878338246649
DLBCL_LS2089	2	0.0368901234258279
DLBCL_LS2154	2	0.189726397577059
DLBCL_LS2258	2	-0.126052476623073
DLBCL_LS2328	2	0.181523692685118
DLBCL_LS3085	2	0.146937179248951
DLBCL_LS3204	2	0.0868040962239131
DLBCL_LS3245	2	0.0406603757009681
DLBCL_LS3309	2	0.158792823848843
DLBCL_LS3749	2	0.140113824614045
DLBCL_LS4054	2	0.290618778132504
DLBCL_LS88	2	-0.0258202138806499
DLBCL_MAYO_DLBCL_7359	2	0.0425178202263341
DLBCL_MC_F089_HCZ	2	0.151663603163088
DLBCL_MC_F210_GWC	2	0.013664718387914
DLBCL_MC_F500_ECU	2	-0.0316248783108687
DLBCL_MC_F502_RFK	2	0.000149232352956149
DLBCL_MC_F729_MAN	2	-0.00724744852580079
DLBCL_MC_F739_AMA3	2	0.0672385946242263
DLBCL_MC_F959_ERM	2	0.118905068738787
DLBCL_MC_F990_MNA	2	0.152591597078109
DLBCL_RICOVER_1018	2	-0.152884740301189
DLBCL_RICOVER_1060	2	0.116546466559264
DLBCL_RICOVER_107	2	0.152392444120473
DLBCL_RICOVER_1072	2	-0.114978428937768
DLBCL_RICOVER_1169	2	0.0720007634107116
DLBCL_RICOVER_1210	2	-0.0431114965014821
DLBCL_RICOVER_1235	2	-0.020859410534278
DLBCL_RICOVER_126	2	0.00562727947011051
DLBCL_RICOVER_174	2	0.17374447779251
DLBCL_RICOVER_253	2	0.129123682764117
DLBCL_RICOVER_266	2	0.231167498481737
DLBCL_RICOVER_288	2	0.125604257227118
DLBCL_RICOVER_299	2	0.0208646055784681
DLBCL_RICOVER_325	2	0.129190260735979
DLBCL_RICOVER_335	2	0.098146083956576
DLBCL_RICOVER_401	2	-0.0543620887116463
DLBCL_RICOVER_496	2	0.0728090486755
DLBCL_RICOVER_533	2	-0.0850900930974261
DLBCL_RICOVER_623	2	-0.108366994031269
DLBCL_RICOVER_678	2	0.044401862468466
DLBCL_RICOVER_780	2	0.0169757885722622
DLBCL_RICOVER_787	2	0.164785845047778
DLBCL_RICOVER_822	2	0.183294166991403
DLBCL_RICOVER_839	2	0.00194097286294333
DLBCL_RICOVER_948	2	0.0248499253052029
DFCIDL009_DT	3	-0.145861016581337
DLBCL_C_D_1110_NULLPAIR	3	0.0526254185039436
DLBCL_C_D_1113_NULLPAIR	3	0.0659685949003456
DLBCL_C_D_1127_NULLPAIR	3	0.00934845883083285
DLBCL_C_D_1133_NULLPAIR	3	0.157355700813361
DLBCL_C_D_1141_NULLPAIR	3	-0.0122476622440373
DLBCL_C_D_1157_NULLPAIR	3	0.0982485977139829
DLBCL_C_D_1162_NULLPAIR	3	0.037683817982308
DLBCL_DFCI_DLBCL_GOE16	3	0.0861629748854017
DLBCL_LS1098	3	0.106068617823424
DLBCL_LS1395	3	-0.0237851214515223
DLBCL_LS155	3	0.185588510858111
DLBCL_LS1620	3	0.078057709211539
DLBCL_LS2245	3	0.0746204423215684
DLBCL_LS2305	3	0.245617550505386
DLBCL_LS2325	3	0.0800482049538862
DLBCL_LS2599	3	0.100031511733642
DLBCL_LS297	3	0.156362704809783
DLBCL_LS3615	3	-0.0276629383159131
DLBCL_LS3820	3	0.0793575174779433
DLBCL_LS4592	3	0.185635012476487
DLBCL_LS4593	3	0.0642146126939494
DLBCL_LS4616	3	0.156488461362484
DLBCL_LS4618	3	0.0127768774074377
DLBCL_LS4619	3	0.109018545058768
DLBCL_LS762	3	0.158020720011026
DLBCL_LS843	3	0.0685736113683709
DLBCL_MAYO_DLBCL_234	3	-0.00561475212887675
DLBCL_MC_F064AB	3	0.0928630143824743
DLBCL_MC_F344_CJS	3	0.00583099331783175
DLBCL_MC_F349_BJJ	3	-0.0560099252140469
DLBCL_MC_F358_WDS	3	0.102547314672024
DLBCL_MC_F362_MJB1	3	0.13168473630163
DLBCL_MC_F606_DMJ	3	0.110878672453369
DLBCL_MC_F815_BAT	3	0.0275409427739224
DLBCL_MC_F927_JHS	3	-0.0972251245136674
DLBCL_RICOVER_1013	3	0.194407915376897
DLBCL_RICOVER_1046	3	0.201668433039713
DLBCL_RICOVER_1263	3	-0.030132934952319
DLBCL_RICOVER_1269	3	0.13837391683347
DLBCL_RICOVER_1283	3	0.170455780642569
DLBCL_RICOVER_208	3	-0.073838890697299
DLBCL_RICOVER_216	3	0.0212372085951746
DLBCL_RICOVER_267	3	-0.00303720219890535
DLBCL_RICOVER_269	3	0.127628792961728
DLBCL_RICOVER_320	3	0.105113379408652
DLBCL_RICOVER_384	3	0.08297171083829
DLBCL_RICOVER_440	3	0.0465836603507174
DLBCL_RICOVER_463	3	0.0426771676908471
DLBCL_RICOVER_469	3	0.057659970567236
DLBCL_RICOVER_577	3	0.0986815159643928
DLBCL_RICOVER_744	3	-0.124535024315967
DLBCL_C_D_1103_NULLPAIR	4	-0.0234701126397539
DLBCL_C_D_1107_NULLPAIR	4	0.148202749200499
DLBCL_C_D_1109_NULLPAIR	4	0.160972745432382
DLBCL_C_D_1121_NULLPAIR	4	0.141220017585219
DLBCL_C_D_1132_NULLPAIR	4	0.0665564179775082
DLBCL_C_D_1138_NULLPAIR	4	0.0546209506125037
DLBCL_C_D_1139_NULLPAIR	4	0.0833572807649247
DLBCL_C_D_1148_NULLPAIR	4	-0.00458934557300578
DLBCL_C_D_1150_NULLPAIR	4	0.266029301086329
DLBCL_C_D_1151_NULLPAIR	4	0.0733281365254908
DLBCL_C_D_1153_NULLPAIR	4	-0.0159621392955887
DLBCL_C_D_1159_NULLPAIR	4	0.00871319596627824
DLBCL_DFCI_DLBCL_GOE08	4	0.092612917145816
DLBCL_LS1899	4	-0.130023061368554
DLBCL_LS2264	4	0.10789700910978
DLBCL_LS2357	4	0.129628167373518
DLBCL_LS2367	4	0.0669886007460077
DLBCL_LS2590	4	0.00568249349506459
DLBCL_LS3271	4	0.0520821293505007
DLBCL_LS3387	4	0.0692259130896863
DLBCL_LS3499	4	0.0701160272458295
DLBCL_LS3866	4	0.100878345178821
DLBCL_LS951	4	0.0590772322313125
DLBCL_MAYO_DLBCL_3653	4	0.0488513647532006
DLBCL_MC_F139_LJF	4	0.0125901954623433
DLBCL_MC_F218_RAP	4	0.17356705539168
DLBCL_RICOVER_102	4	0.0944221999847311
DLBCL_RICOVER_1045	4	0.166289534462185
DLBCL_RICOVER_1061	4	0.0704946553726254
DLBCL_RICOVER_1081	4	0.0635154638431088
DLBCL_RICOVER_1138	4	-0.0486753487119486
DLBCL_RICOVER_1199	4	0.0899591283067402
DLBCL_RICOVER_1247	4	0.0745297569206611
DLBCL_RICOVER_1299	4	0.243201320732563
DLBCL_RICOVER_148	4	0.0875877024741382
DLBCL_RICOVER_151	4	0.0629646604576422
DLBCL_RICOVER_197	4	-0.00509766666004087
DLBCL_RICOVER_274	4	0.00758053485813462
DLBCL_RICOVER_336	4	-0.00316603379881723
DLBCL_RICOVER_338	4	0.0606485120429713
DLBCL_RICOVER_342	4	0.110516493185484
DLBCL_RICOVER_361	4	0.112059133066162
DLBCL_RICOVER_408	4	0.118250856249157
DLBCL_RICOVER_522	4	0.099631538137079
DLBCL_RICOVER_554	4	-0.128512247595797
DLBCL_RICOVER_575	4	-0.0136788721242558
DLBCL_RICOVER_617	4	-0.00439341767010487
DLBCL_RICOVER_692	4	-0.0155968979460787
DLBCL_RICOVER_701	4	0.0549308870306115
DLBCL_RICOVER_711	4	0.140479527638385
DLBCL_RICOVER_866	4	0.145579633898926
DLBCL_RICOVER_950	4	-0.016201589189884
DLBCL_RICOVER_978	4	0.0843640256108184
DLBCL_RICOVER_985	4	0.117063140446749
DFCIDL004_DT	5	0.203743915686163
DFCIDL008_DT	5	0.0492302604649683
DLBCL_C_D_1104_NULLPAIR	5	0.0115083992749992
DLBCL_C_D_1105_NULLPAIR	5	0.0743365351201543
DLBCL_C_D_1120_NULLPAIR	5	-0.0296275604554671
DLBCL_C_D_1124_NULLPAIR	5	0.0924969647869571
DLBCL_C_D_1125_NULLPAIR	5	0.188442980920353
DLBCL_C_D_1140_NULLPAIR	5	0.173497515293743
DLBCL_C_D_1142_NULLPAIR	5	0.194076509197127
DLBCL_C_D_1144_NULLPAIR	5	0.225574580414264
DLBCL_C_D_1145_NULLPAIR	5	0.188393193953606
DLBCL_C_D_1163_NULLPAIR	5	-0.00320997817806564
DLBCL_C_D_1166_NULLPAIR	5	0.243876435598019
DLBCL_C_D_PAIR20	5	-0.0322444672800194
DLBCL_DFCI_DLBCL_GOE05	5	0.0270147580577209
DLBCL_LS1304	5	0.040693471153571
DLBCL_LS148	5	0.0150207701664186
DLBCL_LS1546	5	0.168221087048539
DLBCL_LS1583	5	0.158674861235525
DLBCL_LS1683	5	0.176502018517351
DLBCL_LS2208	5	0.0214854133829464
DLBCL_LS2596	5	0.0933687984689266
DLBCL_LS3200	5	0.146952638776631
DLBCL_LS3808	5	0.0513974672596418
DLBCL_LS4085	5	0.108850748525994
DLBCL_MC_F089_MLB	5	-0.00562836224897423
DLBCL_MC_F339_JPS2	5	-0.034488225682038
DLBCL_MC_F519_ALT	5	0.118153136842551
DLBCL_RICOVER_1032	5	-0.12804682407552
DLBCL_RICOVER_105	5	0.238390914394091
DLBCL_RICOVER_1106	5	0.0787130759252066
DLBCL_RICOVER_1190	5	0.17913472515866
DLBCL_RICOVER_1192	5	0.285026744889632
DLBCL_RICOVER_1204	5	0.210160072587429
DLBCL_RICOVER_1219	5	0.156337017639894
DLBCL_RICOVER_1237	5	0.127382107301287
DLBCL_RICOVER_1248	5	-0.0083405798393271
DLBCL_RICOVER_1257	5	-0.0577645051154637
DLBCL_RICOVER_1278	5	0.126784905704791
DLBCL_RICOVER_1287	5	0.198049532893653
DLBCL_RICOVER_1289	5	0.106535411081773
DLBCL_RICOVER_1293	5	0.0678024501094728
DLBCL_RICOVER_1329	5	-0.0526110074048841
DLBCL_RICOVER_134	5	0.1390081133214
DLBCL_RICOVER_150	5	-0.00168457482630557
DLBCL_RICOVER_173	5	0.00779157759782667
DLBCL_RICOVER_215	5	-0.0277538738512897
DLBCL_RICOVER_221	5	0.244792673610716
DLBCL_RICOVER_224	5	0.00513537080375791
DLBCL_RICOVER_314	5	0.0190685938407671
DLBCL_RICOVER_417	5	0.131717700717532
DLBCL_RICOVER_431	5	-0.000619135897295565
DLBCL_RICOVER_449	5	0.114253833242492
DLBCL_RICOVER_467	5	0.0498342774197918
DLBCL_RICOVER_506	5	-0.0257330464838581
DLBCL_RICOVER_543	5	0.0681467882301485
DLBCL_RICOVER_583	5	0.0474981917074358
DLBCL_RICOVER_585	5	0.0146248488171761
DLBCL_RICOVER_597	5	-0.0232523871843951
DLBCL_RICOVER_685	5	0.164513891003617
DLBCL_RICOVER_704	5	-0.0301975451422189
DLBCL_RICOVER_712	5	0.0788044640795805
DLBCL_RICOVER_720	5	0.104669443235917
DLBCL_RICOVER_763	5	0.0869354524624234
DLBCL_RICOVER_773	5	-0.0349141435778746
DLBCL_RICOVER_850	5	0.0499915963511182
DLBCL_RICOVER_956	5	-0.0852985609261001
DLBCL_RICOVER_99	5	0.188415840970224
