	C1	C2	C3	C4	C5	cluster	confidence
DLBCL10877	0.9855966633728588	0.0022098260698902522	0.0006837689026859284	0.010884974437037292	0.0006247672175276915	1	0.9855966633728588
DLBCL10928	0.9848143168310148	0.001006420114202955	0.00043074170518913853	0.013195185924781956	0.0005533354248111462	1	0.9848143168310148
DLBCL_MC_F648_JKW	0.9847395206095367	0.003481886895714129	0.0005941102514854786	0.010454312569371097	0.0007301696738923974	1	0.9847395206095367
DLBCL10844	0.9845227699019325	0.0005626610710587319	0.0003723112796067158	0.011383173734637854	0.003159084012763967	1	0.9845227699019325
DLBCL11501	0.9838507923507174	0.0022575580667206353	0.0006008564927344699	0.012017493874894434	0.0012732992149330576	1	0.9838507923507174
DLBCL_RICOVER_829	0.9836141825653054	0.0008224161097779067	0.00038461642500540446	0.014361696024290924	0.0008170888756202532	1	0.9836141825653054
DLBCL11443	0.9830104610422388	0.0003102894504041917	0.0005706686222548248	0.01559037066724179	0.0005182102178604423	1	0.9830104610422388
DLBCL10869	0.9827635357752322	0.0005076979079684739	0.0005533116313243146	0.01600085265179088	0.00017460203368414894	1	0.9827635357752322
DLBCL11520	0.9827283626058311	0.00029556024186036187	0.00028501929450272187	0.014207904131277612	0.0024831537265282756	1	0.9827283626058311
DLBCL10996	0.9826978563327148	0.0002806396483817591	0.0004007756086628532	0.01615572587126746	0.00046500253897315225	1	0.9826978563327148
DLBCL11511	0.9826868065735669	0.00028173955080333424	0.00040208464860941507	0.016162959361880527	0.0004664098651397222	1	0.9826868065735669
DLBCL10458	0.9826319325481886	0.00029143569069480066	0.00045501601763370356	0.016222023731397802	0.00039959201208507767	1	0.9826319325481886
DLBCL_C_D_1129_NULLPAIR	0.9826062521718776	0.0003317589228481959	0.0004867297196985126	0.01610539196652081	0.00046986721905476587	1	0.9826062521718776
DLBCL10525	0.9825596331217186	0.00029719674520463515	0.0005179821104953562	0.01594305373285616	0.0006821342897252246	1	0.9825596331217186
DLBCL11486	0.9824865137045621	0.0003309193124474553	0.0002840248967534076	0.015904918578523594	0.000993623507713483	1	0.9824865137045621
DLBCL_RICOVER_473	0.9823869658938361	0.00028987507334323636	0.0003292554580832441	0.01652090257838671	0.000473000996350751	1	0.9823869658938361
DLBCL_LS4394	0.9823599826392675	0.0052968084882345865	0.0015455103483847901	0.010555613659576574	0.0002420848645366574	1	0.9823599826392675
DLBCL11462	0.9822860907559869	0.0003201599670553172	0.0008579890949542627	0.016054422764734334	0.00048133741726918034	1	0.9822860907559869
DLBCL10986	0.9822074170745694	0.0004014306628506861	0.00031109944540083764	0.01618922847319794	0.0008908243439812222	1	0.9822074170745694
DLBCL11652	0.9822062905649188	0.004963289688423544	0.00038531860182925126	0.011332475714281937	0.0011126254305462956	1	0.9822062905649188
DLBCL10462	0.9821208084922387	0.00028307349846200437	0.00037873639980117563	0.01675797049598354	0.000459411113514544	1	0.9821208084922387
DLBCL_RICOVER_451	0.9820075133672885	0.00033505521271536785	0.0004142300991926537	0.016967700945685085	0.0002755003751183113	1	0.9820075133672885
DLBCL10972	0.9819970954961936	0.0013242518304977873	0.0005292961279910855	0.00848134472469994	0.007668011820617457	1	0.9819970954961936
DLBCL10509	0.9819894544497426	0.002756793245266867	0.0003362628500380345	0.014551449329431754	0.00036604012552074336	1	0.9819894544497426
DLBCL10993	0.981953995772731	0.00028498171487728103	0.0003987474475328678	0.016985975751597417	0.0003762993132614162	1	0.981953995772731
