update:pair_id	purity
DLBCL10450	0.87
DLBCL10451	0.67
DLBCL10452	0.45
DLBCL10453	0.6
DLBCL10454	0.55
DLBCL10455	0.11
DLBCL10456	0.69
DLBCL10457	0.44
DLBCL10458	0.74
DLBCL10459	0.56
DLBCL10460	0.33
DLBCL10461	0.69
DLBCL10462	0.64
DLBCL10463	0.71
DLBCL10464	0.82
DLBCL10465	0.7
DLBCL10466	0.21
DLBCL10467	0.47
DLBCL10469	0.45
DLBCL10470	0.36
DLBCL10471	0.56
DLBCL10472	0.41
DLBCL10473	0.28
DLBCL10474	0.09
DLBCL10476	0.85
DLBCL10477	0.75
DLBCL10478	0.65
DLBCL10479	0.15
DLBCL10480	0.29
DLBCL10481	0.56
DLBCL10482	0.35
DLBCL10483	0.79
DLBCL10484	0.36
DLBCL10485	0.54
DLBCL10486	0.24
DLBCL10487	0.46
DLBCL10488	0.62
DLBCL10490	0.22
DLBCL10491	0.86
DLBCL10492	0.37
DLBCL10493	0.53
DLBCL10494	0.55
DLBCL10495	0.7
DLBCL10497	0.42
DLBCL10498	0.69
DLBCL10499	0.82
DLBCL10500	0.35
DLBCL10501	0.6
DLBCL10502	0.5
DLBCL10503	0.31
DLBCL10504	0.41
DLBCL10505	0.24
DLBCL10506	0.76
DLBCL10507	0.64
DLBCL10508	0.43
DLBCL10509	0.76
DLBCL10510	0.75
DLBCL10512	0.87
DLBCL10513	0.25
DLBCL10514	0.71
DLBCL10515	0.49
DLBCL10516	0.35
DLBCL10517	0.65
DLBCL10518	0.77
DLBCL10519	0.29
DLBCL10520	0.16
DLBCL10521	0.48
DLBCL10522	0.23
DLBCL10523	0.59
DLBCL10524	0.2
DLBCL10525	0.46
DLBCL10527	0.32
DLBCL10528	0.65
DLBCL10529	0.6
DLBCL10530	0.82
DLBCL10531	0.48
DLBCL10532	0.66
DLBCL10533	0.43
DLBCL10534	0.39
DLBCL10535	0.64
DLBCL10536	0.64
DLBCL10537	0.59
DLBCL10538	0.4
DLBCL10539	0.72
DLBCL10540	0.73
DLBCL10541	0.39
DLBCL10542	0.85
DLBCL10543	0.18
DLBCL10544	0.78
DLBCL10545	0.65
DLBCL10546	0.75
DLBCL10547	0.77
DLBCL10548	0.44
DLBCL10549	0.55
DLBCL10550	0.69
DLBCL10552	0.27
DLBCL10553	0.8
DLBCL10554	0.57
DLBCL10555	0.69
DLBCL10564	0.4
DLBCL10565	0.81
DLBCL10566	0.5
DLBCL10780	0.19
DLBCL10781	0.6
DLBCL10782	0.49
DLBCL10833	0.85
DLBCL10834	0.43
DLBCL10835	0.67
DLBCL10836	0.4
DLBCL10837	0.67
DLBCL10838	0.25
DLBCL10839	0.13
DLBCL10842	0.66
DLBCL10843	0.8
DLBCL10844	0.33
DLBCL10845	0.59
DLBCL10846	0.67
DLBCL10847	0.94
DLBCL10848	0.73
DLBCL10849	0.83
DLBCL10850	0.74
DLBCL10851	0.72
DLBCL10852	0.19
DLBCL10853	0.45
DLBCL10854	0.64
DLBCL10855	0.19
DLBCL10856	0.71
DLBCL10857	0.66
DLBCL10858	0.38
DLBCL10859	0.5
DLBCL10860	0.57
