0	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
SV.BCL6	C1	7.657066286479994e-05	9.99990000099999e-06	0.2184873949579832	0.7051282051282052	0.05128205128205128	0.03846153846153846	0.06410256410256411	0.14102564102564102	0.15406162464985995	0.011204481792717087	0.008403361344537815	0.014005602240896359	0.03081232492997199	55	33	4	74	3	59	5	37	11	76	165	12	9	15	33
TNFAIP3	C1	7.657066286479994e-05	9.99990000099999e-06	0.15406162464985995	0.5818181818181818	0.10909090909090909	0.07272727272727272	0.18181818181818182	0.05454545454545454	0.0896358543417367	0.01680672268907563	0.011204481792717087	0.028011204481792718	0.008403361344537815	32	56	6	72	4	58	10	32	3	84	64	12	8	20	6
BTG2	C1	7.657066286479994e-05	9.99990000099999e-06	0.24369747899159666	0.3333333333333333	0.29885057471264365	0.022988505747126436	0.1954022988505747	0.14942528735632182	0.08123249299719888	0.07282913165266107	0.0056022408963585435	0.047619047619047616	0.036414565826330535	29	59	26	52	2	60	17	25	13	74	53	48	4	31	24
CD70	C1	7.657066286479994e-05	9.99990000099999e-06	0.09803921568627451	0.7714285714285714	0.08571428571428572	0.02857142857142857	0.11428571428571428	0.0	0.07563025210084033	0.008403361344537815	0.0028011204481792717	0.011204481792717087	0.0	27	61	3	75	1	61	4	38	0	87	54	5	2	8	0
NOTCH2	C1	7.657066286479994e-05	9.99990000099999e-06	0.0896358543417367	0.8437499999999999	0.09375	0.03125	0.0	0.03125	0.07563025210084033	0.008403361344537815	0.0028011204481792717	0.0	0.0028011204481792717	27	61	3	75	1	61	0	42	1	86	54	6	1	0	2
CD58	C1	7.657066286479994e-05	9.99990000099999e-06	0.10084033613445378	0.5555555555555556	0.19444444444444445	0.05555555555555555	0.16666666666666666	0.027777777777777776	0.056022408963585436	0.0196078431372549	0.0056022408963585435	0.01680672268907563	0.0028011204481792717	20	68	7	71	2	60	6	36	1	86	40	14	4	12	2
ZEB2	C1	7.657066286479994e-05	9.99990000099999e-06	0.07563025210084033	0.6666666666666667	0.03703703703703704	0.0	0.11111111111111112	0.1851851851851852	0.05042016806722689	0.0028011204481792717	0.0	0.008403361344537815	0.014005602240896359	18	70	1	77	0	62	3	39	5	82	34	2	0	6	10
UBE2A	C1	7.657066286479994e-05	9.99990000099999e-06	0.06162464985994397	0.7727272727272728	0.13636363636363638	0.04545454545454546	0.04545454545454546	0.0	0.047619047619047616	0.008403361344537815	0.0028011204481792717	0.0028011204481792717	0.0	17	71	3	75	1	61	1	41	0	87	34	6	2	2	0
BCL10	C1	0.00034956172177408665	5.999940000599994e-05	0.08683473389355742	0.6451612903225807	0.06451612903225806	0.06451612903225806	0.06451612903225806	0.16129032258064518	0.056022408963585436	0.0056022408963585435	0.0056022408963585435	0.0056022408963585435	0.014005602240896359	20	68	2	76	2	60	2	40	5	82	40	4	4	4	10
BCL7A	C1	0.00034956172177408665	5.999940000599994e-05	0.11484593837535013	0.3658536585365854	0.0975609756097561	0.1951219512195122	0.2926829268292683	0.04878048780487805	0.04201680672268908	0.011204481792717087	0.022408963585434174	0.03361344537815126	0.0056022408963585435	15	73	4	74	8	54	12	30	2	85	26	8	16	23	4
