gene	cluster	q	p	overall_frequency	C1_nf	C2_nf	C3_nf	C4_nf	C5_nf	C1_f	C2_f	C3_f	C4_f	C5_f	C1_mut	C1_wt	C2_mut	C2_wt	C3_mut	C3_wt	C4_mut	C4_wt	C5_mut	C5_wt	C1_sum	C2_sum	C3_sum	C4_sum	C5_sum
NFKBIA	C1	8.437415625843743e-05	9.99990000099999e-06	0.04871060171919771	0.5882352941176471	0.0	0.058823529411764705	0.35294117647058826	0.0	0.02865329512893983	0.0	0.0028653295128939827	0.017191977077363897	0.0	10	32	0	84	1	81	6	57	0	78	18	0	2	11	0
SGK1	C1	0.00013846015385999988	1.999980000199998e-05	0.10601719197707736	0.4054054054054054	0.13513513513513514	0.16216216216216217	0.24324324324324326	0.05405405405405406	0.04297994269340974	0.014326647564469915	0.017191977077363897	0.025787965616045846	0.0057306590257879654	15	27	5	79	6	76	9	54	2	76	29	10	12	18	4
ZFP36L1	C1	0.00013846015385999988	1.999980000199998e-05	0.1002865329512894	0.37142857142857144	0.028571428571428567	0.11428571428571427	0.14285714285714285	0.34285714285714286	0.03724928366762178	0.0028653295128939827	0.011461318051575931	0.014326647564469915	0.034383954154727794	13	29	1	83	4	78	5	58	12	66	25	1	7	10	20
LTB	C1	0.0004235251765129408	7.999920000799993e-05	0.10601719197707736	0.3783783783783784	0.13513513513513514	0.21621621621621623	0.1891891891891892	0.08108108108108109	0.04011461318051576	0.014326647564469915	0.022922636103151862	0.02005730659025788	0.008595988538681949	14	28	5	79	8	74	7	56	3	75	27	9	12	12	6
HIST1H2BC	C1	0.0008052551053436834	0.00016999830001699983	0.08022922636103152	0.3928571428571428	0.10714285714285714	0.3214285714285714	0.03571428571428571	0.14285714285714285	0.03151862464183381	0.008595988538681949	0.025787965616045846	0.0028653295128939827	0.011461318051575931	11	31	3	81	9	73	1	62	4	74	18	5	17	1	4
SESN3	C1	0.0011142745715399989	0.0002599974000259997	0.022922636103151865	0.625	0.0	0.37499999999999994	0.0	0.0	0.014326647564469915	0.0	0.008595988538681949	0.0	0.0	5	37	0	84	3	79	0	63	0	78	10	0	5	0	0
HIST1H1B	C1	0.0012876794308979988	0.0003099969000309997	0.10028653295128939	0.3714285714285715	0.2571428571428572	0.08571428571428572	0.14285714285714288	0.14285714285714288	0.03724928366762178	0.025787965616045846	0.008595988538681949	0.014326647564469915	0.014326647564469915	13	29	9	75	3	79	5	58	5	73	23	16	5	9	9
CD83	C1	0.0013499865001349986	0.00032999670003299966	0.04871060171919771	0.47058823529411764	0.23529411764705882	0.11764705882352941	0.17647058823529413	0.0	0.022922636103151862	0.011461318051575931	0.0057306590257879654	0.008595988538681949	0.0	8	34	4	80	2	80	3	60	0	78	14	8	4	6	0
STAT3	C1	0.004522454775452246	0.0013399866001339987	0.08595988538681948	0.3666666666666667	0.06666666666666667	0.2	0.16666666666666669	0.2	0.03151862464183381	0.0057306590257879654	0.017191977077363897	0.014326647564469915	0.017191977077363897	11	31	2	82	6	76	5	58	6	72	22	4	12	10	11
KLHL6	C1	0.006961376169370836	0.0021399786002139977	0.09455587392550142	0.3636363636363637	0.24242424242424243	0.15151515151515155	0.09090909090909093	0.15151515151515155	0.034383954154727794	0.022922636103151862	0.014326647564469915	0.008595988538681949	0.014326647564469915	12	30	8	76	5	77	3	60	5	73	23	16	9	5	10
HLA.A	C1	0.010565111740186947	0.0035999640003599965	0.10601719197707736	0.2972972972972973	0.13513513513513514	0.24324324324324326	0.05405405405405406	0.2702702702702703	0.03151862464183381	0.014326647564469915	0.025787965616045846	0.0057306590257879654	0.02865329512893983	11	31	5	79	9	73	2	61	10	68	22	10	18	4	20
