	q	p	Shipp_wt	Shipp_mt	Staudt_wt	Staudt_mt	q_os	p_os	Shipp_os_wt	Shipp_os_mt	Staudt_os_wt	Staudt_os_mt	q_pfs	p_pfs	Shipp_pfs_wt	Shipp_pfs_mt	Staudt_pfs_wt	Staudt_pfs_mt	q_pfs_ipi	p_pfs_ipi	Shipp_pfs_ipi_wt	Shipp_pfs_ipi_mt	Staudt_pfs_ipi_wt	Staudt_pfs_ipi_mt	q_test_train	p_test_train	Train_wt	Train_mt	Test_wt	Test_mt
X9P21.3.DEL	0.08602347593960535	0.0014102209170427109	45	34	74	18	0.3906741130022712	0.11704516682365988	40	27	39	13	0.7263497564732949	0.02057398019355678	15	15	20	4	0.49655136797834215	0.016280372720601382	15	15	17	3	1.0	0.839342638747238	88	32	31	10
X17Q24.3.AMP	0.38224952640266346	0.012532771357464377	53	26	77	15	0.3906741130022712	0.14394606207356148	45	22	42	10	0.7609553371402791	0.3839588409601432	18	12	18	6	0.813333333333333	0.36544382539827563	18	12	15	5	1.0	0.8334817067590932	98	28	32	10
X3P21.31.DEL	0.6037865805409469	0.029694421993817062	48	31	71	21	0.3906741130022712	0.1127948661933571	42	25	40	12	0.7263497564732949	0.04401903086424309	17	13	20	4	0.7318662639127111	0.12943705130275754	17	13	16	4	1.0	0.8502241049834365	89	38	30	14
X15Q15.3.DEL	0.6921641180546604	0.045387811019977735	49	30	42	50	0.005270543466685951	8.640235191288444e-05	43	24	14	38	0.7263497564732949	0.056724350208975705	17	13	7	17	0.7318662639127111	0.0857951507831154	17	13	6	14	1.0	1.0	68	59	23	21
X18Q23.DEL	0.8307705898905118	0.07441362740198296	60	19	80	12	0.6481653201965941	0.3612724735522	52	15	44	8	0.7263497564732949	0.08713270813065373	21	9	22	2	0.7318662639127111	0.16299661922998723	21	9	18	2	1.0	1.0	104	22	36	7
IPI_High_45	0.8307705898905118	0.08171513998923066	67	12	86	6	0.406666980133652	0.1742462674508031	55	12	48	4	0.9098642393356556	0.7363449595012634	23	7	20	4	1.0	1.0	23	7	16	4	0.9442448171662748	0.408612612410211	115	12	38	6
X3Q28.DEL	0.9013587879291591	0.1211114605933883	64	15	83	9	0.3906741130022712	0.11137302093135892	54	13	48	4	0.7263497564732949	0.1167155202671296	24	6	23	1	0.7318662639127111	0.21921200908249916	24	6	19	1	0.9442448171662748	0.44461975991882025	107	18	40	4
X11Q23.3.AMP	0.9013587879291591	0.1569114280853066	62	17	80	12	0.6481653201965941	0.3612724735522	52	15	44	8	0.7263497564732949	0.11103662325143099	20	10	21	3	0.7318662639127111	0.09149327081550404	20	10	18	2	0.9442448171662748	0.40316890183532283	102	15	40	3
X18Q21.32.AMP	0.9013587879291591	0.1613798952835141	66	13	84	8	0.3906741130022712	0.09011951853758064	56	11	49	3	0.7347868954462924	0.277050796643684	24	6	22	2	0.7318662639127111	0.21921200908249916	24	6	19	1	1.0	1.0	111	6	39	2
X3Q28.AMP	0.9013587879291591	0.1613798952835141	66	13	84	8	0.3906741130022712	0.14401987111925965	57	10	49	3	0.7347868954462924	0.27022602636459586	23	7	22	2	0.813333333333333	0.2846618970599781	23	7	18	2	0.9442448171662748	0.24380177560763713	108	15	42	2
IPI_IntermediateHigh_3	0.9013587879291591	0.1770697352199516	65	14	83	9	0.3906741130022712	0.13067963436470362	53	14	47	5	0.7609553371402791	0.342801958851749	21	9	20	4	0.8163379949505196	0.5219210131650863	21	9	16	4	0.9442448171662748	0.04352702015666081	114	13	34	10
X21Q.AMP	0.9013587879291591	0.1796570436204286	51	28	69	23	0.7857483257355057	0.5492355292298868	45	22	38	14	0.8876130113343413	0.5401518173805707	21	9	19	5	0.8163379949505196	0.5219210131650863	21	9	16	4	0.9442448171662748	0.15116147287693732	84	33	36	7
X1Q23.3.AMP	0.9013587879291591	0.19209285644391916	64	15	82	10	0.9154026754194551	0.7873870153151796	57	10	46	6	1.0	1.0	26	4	20	4	1.0	0.9999999999999999	26	4	17	3	0.9442448171662748	0.40639610888901234	106	16	40	3
X6P.AMP	0.9335970037889595	0.25734237577079844	49	30	65	27	0.709294974010512	0.4534836719083602	39	28	34	18	0.7263497564732949	0.166214141383287	15	15	17	7	0.813333333333333	0.3868843457124999	15	15	13	7	0.9932769168152971	0.5663244579748707	86	36	28	15
X17Q25.1.DEL	0.9335970037889595	0.26808943346889047	71	8	77	15	0.3906741130022712	0.12582968775584763	63	4	44	8	0.7263497564732949	0.03624937154348918	29	1	18	6	0.49655136797834215	0.01241755469322537	29	1	14	6	0.9442448171662748	0.1987468493393637	107	19	41	3
X12Q.AMP	0.9335970037889595	0.2694255334106323	65	14	69	23	0.3906741130022712	0.12821774407218695	55	12	36	16	0.7746031746031747	0.4429055913505817	27	3	19	5	0.7318662639127111	0.23995615210252821	27	3	15	5	1.0	0.6715055068011072	98	29	36	8
X1P13.1.DEL	0.9335970037889595	0.2718206038591517	53	26	54	38	0.3906741130022712	0.0632023589317838	45	22	26	26	0.9098642393356556	0.7812316271861958	20	10	15	9	0.8230056921099457	0.5531677602706192	20	10	11	9	1.0	0.8559061758109965	80	45	27	17
X9Q21.13.DEL	0.9335970037889595	0.2982465509407336	55	24	71	21	0.9154026754194551	0.8351828417463815	48	19	39	13	0.7609553371402791	0.39402160556546645	19	11	18	6	0.9503252185929748	0.7634812806244481	19	11	14	6	0.9442448171662748	0.17059530452058513	90	37	36	8
X11P.AMP	0.9335970037889595	0.2982465509407336	55	24	71	21	1.0	1.0	47	20	37	15	1.0	0.9999999999999999	21	9	17	7	0.9503252185929748	0.7581058551840947	21	9	15	5	1.0	0.8364841134924017	95	30	31	11
X4Q21.22.DEL	0.9335970037889595	0.3473355107569685	51	28	52	40	0.3906741130022712	0.1370810050881481	42	25	25	27	0.8876130113343413	0.5820413189077648	19	11	13	11	0.813333333333333	0.39271844496577635	19	11	10	10	0.9442448171662748	0.11244903075214492	81	46	22	22
TP53	0.9335970037889595	0.3586470372938745	36	43	49	43	0.3906741130022712	0.0981068170442218	32	35	33	19	0.7609553371402791	0.411664362715233	13	17	14	10	0.7318662639127111	0.1587685071973371	13	17	13	7	1.0	1.0	58	1	27	0
X7Q22.1.AMP	0.9335970037889595	0.38561317121497296	65	14	81	11	0.9154026754194551	0.7979660594560507	56	11	45	7	0.7347868954462924	0.277050796643684	24	6	22	2	0.8163379949505196	0.45009162685087206	24	6	18	2	1.0	1.0	106	8	40	3
X8Q12.1.DEL	0.9335970037889595	0.3930064368726978	60	19	64	28	0.3906741130022712	0.1537078477385985	52	15	34	18	0.9098642393356556	0.7152525562613645	24	6	21	3	0.9503252185929748	0.7244223345443146	24	6	17	3	0.9442448171662748	0.42380868805814614	95	31	29	13
COO_ABC	0.9335970037889595	0.41388180238505223	35	28	44	48	0.7857483257355057	0.5538881640430614	27	25	31	21	0.7263497564732949	0.23814746113878518	12	9	9	15	0.7318662639127111	0.2146030074677082	12	9	7	13	1.0	0.8534446515001827	59	58	20	18
PLOIDY	0.9335970037889595	0.43491539648390787	50	29	52	40	0.3906741130022712	0.06287334829772862	43	24	24	28	0.7609553371402791	0.404320888142282	21	9	14	10	0.7318662639127111	0.23453753777428363	21	9	10	10	1.0	1.0	76	51	26	18
X7P.AMP	0.9335970037889595	0.44000160555364626	48	31	50	42	0.3906741130022712	0.015454399918499047	44	23	22	30	0.7263497564732949	0.16870775201070554	20	10	11	13	0.7318662639127111	0.0845006814604755	20	10	8	12	0.9442448171662748	0.363030826876165	76	47	22	20
IPI_IntermediateLow_2	0.9335970037889595	0.4436359541884532	61	18	76	16	0.406666980133652	0.18000013874768203	49	18	44	8	0.7609553371402791	0.342801958851749	21	9	20	4	0.8163379949505196	0.5219210131650863	21	9	16	4	1.0	1.0	102	25	35	9
X19P13.2.DEL	0.9335970037889595	0.4689735309916926	63	16	68	24	0.3906741130022712	0.1537078477385985	52	15	34	18	0.7263497564732949	0.2056145789750927	25	5	16	8	0.7318662639127111	0.10035003243102397	25	5	12	8	1.0	1.0	97	28	34	10
COO_GCB	0.9335970037889595	0.4971754944831559	39	24	62	30	0.40663822343918926	0.16665500960622512	33	19	25	27	0.7263497564732949	0.2263425117980219	12	9	18	6	0.813333333333333	0.3264236319121151	12	9	15	5	0.9442448171662748	0.32839790620114007	79	38	22	16
ZNF423	0.9335970037889595	0.5078869037607143	76	3	86	6	0.623944417607921	0.31708650730894344	66	1	49	3	0.7263497564732949	0.19287211740041935	30	0	22	2	0.813333333333333	0.39999999999999986	30	0	19	1	0.9932769168152971	0.5654646117013318	118	3	44	0
X19P13.3.DEL	0.9335970037889595	0.5106810060885558	57	22	62	30	0.3906741130022712	0.08552349536371143	47	20	28	24	0.7263497564732949	0.09548399082633849	22	8	12	12	0.7318662639127111	0.07345176263907634	22	8	9	11	0.9442448171662748	0.4377779556838494	90	33	29	15
IPI_Low_01	0.9335970037889595	0.511773471248962	56	23	60	32	0.5218447325583896	0.25664495043855223	44	23	28	24	0.7263497564732949	0.2056145789750927	25	5	16	8	0.7318662639127111	0.10035003243102397	25	5	12	8	0.9932769168152971	0.5746776443426623	88	39	28	16
X11Q.AMP	0.9335970037889595	0.5287566072574494	51	28	54	38	0.9134494656426029	0.7038053259869235	43	24	31	21	0.9098642393356556	0.7826614858320377	19	11	14	10	1.0	1.0	19	11	13	7	1.0	1.0	79	40	26	14
X1Q42.12.DEL	0.9335970037889595	0.5349255401208968	68	11	75	17	0.3906741130022712	0.11390296186774161	61	6	42	10	0.7263497564732949	0.16456834779738405	27	3	18	6	0.7318662639127111	0.23995615210252821	27	3	15	5	0.9442448171662748	0.1597768643106695	103	24	40	4
X1P36.11.DEL	0.9335970037889595	0.5356704120100587	48	31	51	41	0.3906741130022712	0.09438786052405986	42	25	24	28	0.8876130113343413	0.5820413189077648	19	11	13	11	0.813333333333333	0.39271844496577635	19	11	10	10	1.0	1.0	73	53	26	18
X13Q14.2.DEL	0.9441931429098401	0.5838171481490003	59	20	73	19	0.9154026754194551	0.831837421511854	51	16	38	14	0.7263497564732949	0.18962426156873352	21	9	21	3	0.7318662639127111	0.16299661922998723	21	9	18	2	0.9442448171662748	0.3967347570827206	101	26	31	12
X1Q.AMP	0.9441931429098401	0.6209180546072932	56	23	61	31	1.0	1.0	46	21	35	17	0.7263497564732949	0.11103662325143099	20	10	21	3	0.7318662639127111	0.19687053923501754	20	10	17	3	1.0	1.0	87	38	30	12
