	individual
DLBCL_C_D_1148_NULLPAIR	18
DLBCL_C_D_1157_NULLPAIR	12
DLBCL_C_D_1106_NULLPAIR	7
DLBCL_C_D_1129_NULLPAIR	7
DLBCL_RICOVER_678	7
DLBCL_LS3809	6
DFCIDL001_DT	6
DLBCL_C_D_1128_NULLPAIR	5
DLBCL_MC_F349_BJJ	5
DLBCL_LS1065	5
DLBCL_MC_F064AB	5
DLBCL_LS843	5
DFCIDL004_DT	5
DLBCL_LS155	4
DLBCL_C_D_1141_NULLPAIR	4
DLBCL_MC_F815_BAT	4
DLBCL_C_D_1135_NULLPAIR	4
DLBCL_MC_F132_MLM	4
DLBCL_RICOVER_181	4
DLBCL_RICOVER_267	4
DFCIDL010_DT	4
DLBCL_LS2305	3
DLBCL_LS88	3
DLBCL_LS4618	3
DLBCL_MC_F339_JPS2	3
DLBCL_LS4616	3
DLBCL_MC_F262_WLC	3
DLBCL_LS3309	3
DLBCL_LS2978	3
DLBCL_MC_F959_ERM	3
DFCIDL003_DT	3
DLBCL_LS1757	3
DLBCL_MC_F990_MNA	3
DLBCL_RICOVER_1199	3
DLBCL_RICOVER_126	3
DLBCL_RICOVER_1293	3
DLBCL_RICOVER_150	3
DLBCL_RICOVER_290	3
DLBCL_RICOVER_440	3
DLBCL_RICOVER_451	3
DLBCL_RICOVER_585	3
DLBCL_RICOVER_744	3
DLBCL_RICOVER_780	3
DLBCL_RICOVER_866	3
DLBCL_LS2245	3
DLBCL_MC_F358_WDS	3
DLBCL_C_D_1130_NULLPAIR	3
DLBCL_C_D_1131_NULLPAIR	3
DLBCL_C_D_1159_NULLPAIR	3
DLBCL_C_D_1155_NULLPAIR	3
DLBCL_C_D_1123_NULLPAIR	3
DLBCL_C_D_1121_NULLPAIR	3
DLBCL_C_D_1133_NULLPAIR	3
DLBCL_LS1620	3
DLBCL_C_D_1138_NULLPAIR	3
DLBCL_RICOVER_1150	2
DLBCL_RICOVER_1190	2
DLBCL_RICOVER_120	2
DLBCL_C_D_1115_NULLPAIR	2
DLBCL_RICOVER_216	2
DLBCL_RICOVER_253	2
DLBCL_RICOVER_258	2
DLBCL_RICOVER_266	2
DLBCL_RICOVER_288	2
DLBCL_RICOVER_299	2
DLBCL_RICOVER_401	2
DLBCL_RICOVER_417	2
DLBCL_RICOVER_449	2
DLBCL_MC_F502_RFK	2
DLBCL_C_D_1114_NULLPAIR	2
DLBCL_RICOVER_956	2
DLBCL_RICOVER_948	2
DLBCL_RICOVER_865	2
DLBCL_RICOVER_829	2
DLBCL_BWH_DLBCL64	2
DLBCL_C_D_1107_NULLPAIR	2
DLBCL_RICOVER_712	2
DLBCL_RICOVER_711	2
DLBCL_RICOVER_692	2
DLBCL_RICOVER_685	2
DLBCL_C_D_1112_NULLPAIR	2
DLBCL_RICOVER_583	2
DLBCL_RICOVER_533	2
DLBCL_RICOVER_478	2
DLBCL_RICOVER_469	2
DLBCL_RICOVER_467	2
DLBCL_RICOVER_463	2
DLBCL_MC_F729_MAN	2
DLBCL_LS1921	2
DLBCL_MC_F496DMP	2
DLBCL_C_D_1151_NULLPAIR	2
DLBCL_C_D_1158_NULLPAIR	2
DLBCL_LS4619	2
DLBCL_DFCI_DLBCL_GOE16	2
DLBCL_LS1098	2
DLBCL_LS4593	2
DLBCL_LS4592	2
DLBCL_MC_F218_RAP	2
DLBCL_LS4394	2
DLBCL_C_D_1152_NULLPAIR	2
DLBCL_LS3820	2
DLBCL_LS1304	2
DLBCL_LS378	2
DLBCL_MC_F300_TBF	2
DLBCL_LS1395	2
DLBCL_MAYO_DLBCL_5613	2
DLBCL_LS3245	2
DLBCL_LS1668	2
DLBCL_MC_F362_MJB1	2
DLBCL_LS2599	2
DLBCL_LS2328	2
DLBCL_LS2367	2
DLBCL_RICOVER_704	1
DLBCL_RICOVER_787	1
DLBCL_RICOVER_361	1
DLBCL_RICOVER_977	1
DLBCL_LS762	1
DLBCL_LS2325	1
DFCIDL009_DT	1
DLBCL_RICOVER_826	1
DLBCL_RICOVER_496	1
DLBCL_LS4085	1
DLBCL_RICOVER_694	1
DLBCL_RICOVER_506	1
DLBCL_RICOVER_522	1
DLBCL_RICOVER_543	1
DLBCL_RICOVER_577	1
DLBCL_LS297	1
DLBCL_RICOVER_720	1
DLBCL_C_D_1118_NULLPAIR	1
DLBCL_LS148	1
DLBCL_LS3387	1
DLBCL_C_D_1110_NULLPAIR	1
DLBCL_RICOVER_269	1
DLBCL_MAYO_DLBCL_7359	1
DLBCL_RICOVER_1061	1
DLBCL_MC_F307_JPS	1
DLBCL_RICOVER_1165	1
DLBCL_RICOVER_1144	1
DLBCL_RICOVER_1138	1
DLBCL_RICOVER_111	1
DLBCL_RICOVER_1106	1
DLBCL_RICOVER_107	1
DLBCL_RICOVER_1046	1
DLBCL_RICOVER_1210	1
DLBCL_RICOVER_1013	1
DLBCL_MC_F344_CJS	1
DLBCL_C_D_1146_NULLPAIR	1
DLBCL_C_D_1139_NULLPAIR	1
DLBCL_MC_F739_AMA3	1
DLBCL_MC_F648_JKW	1
DLBCL_MC_F606_DMJ	1
DLBCL_LS2208	1
DLBCL_RICOVER_1219	1
DLBCL_RICOVER_274	1
DLBCL_C_D_1120_NULLPAIR	1
DLBCL_MC_F519_ALT	1
DLBCL_C_D_1119_NULLPAIR	1
DLBCL_C_D_1156_NULLPAIR	1
DLBCL_MC_F089_HCZ	1
DLBCL_MC_F139_LJF	1
DLBCL_MC_F210_GWC	1
DLBCL_RICOVER_208	1
DLBCL_RICOVER_134	1
DLBCL_RICOVER_1235	1
DLBCL_RICOVER_1289	1
DLBCL_RICOVER_1283	1
DLBCL_RICOVER_1278	1
DLBCL_RICOVER_1269	1
DLBCL_RICOVER_1263	1
DLBCL_C_D_1127_NULLPAIR	1
DLBCL_RICOVER_1248	1
DLBCL_RICOVER_99	1
DLBCL_RICOVER_473	0
DLBCL_RICOVER_945	0
DLBCL_MAYO_DLBCL_234	0
DLBCL_LS3866	0
DLBCL_MAYO_DLBCL_3653	0
DLBCL_RICOVER_910	0
DLBCL_RICOVER_978	0
DLBCL_LS3808	0
DLBCL_LS2154	0
DLBCL_LS4323	0
DLBCL_C_D_1132_NULLPAIR	0
DLBCL_RICOVER_105	0
DLBCL_RICOVER_1060	0
DLBCL_RICOVER_1169	0
DLBCL_MC_F500_ECU	0
DLBCL_DFCI_DLBCL_GOE07	0
DLBCL_LS3749	0
DLBCL_LS3204	0
DLBCL_LS2258	0
DLBCL_LS146	0
DLBCL_DFCI_DLBCL_GOE05	0
DLBCL_C_D_PAIR13	0
DLBCL_RICOVER_174	0
DLBCL_LS4054	0
DLBCL_LS2089	0
DLBCL_C_D_1149_NULLPAIR	0
DLBCL_C_D_1136_NULLPAIR	0
DLBCL_RICOVER_335	0
DLBCL_C_D_1117_NULLPAIR	0
DLBCL_RICOVER_839	0
DLBCL_RICOVER_773	0
DLBCL_RICOVER_623	0
DLBCL_RICOVER_822	0
DLBCL_C_D_1126_NULLPAIR	0
DLBCL_C_D_1108_NULLPAIR	0
DLBCL_LS3615	0
DLBCL_C_D_1162_NULLPAIR	0
DLBCL_C_D_1113_NULLPAIR	0
DLBCL_RICOVER_320	0
DLBCL_RICOVER_384	0
DLBCL_RICOVER_1081	0
DLBCL_LS951	0
DLBCL_LS3499	0
DLBCL_LS2357	0
DLBCL_LS1899	0
DLBCL_RICOVER_1018	0
DLBCL_C_D_1153_NULLPAIR	0
DLBCL_C_D_1109_NULLPAIR	0
DLBCL_C_D_1103_NULLPAIR	0
DLBCL_RICOVER_1045	0
DLBCL_RICOVER_1072	0
DLBCL_RICOVER_597	0
DLBCL_LS2590	0
DLBCL_RICOVER_985	0
DLBCL_RICOVER_950	0
DLBCL_RICOVER_701	0
DLBCL_RICOVER_617	0
DLBCL_RICOVER_575	0
DLBCL_RICOVER_408	0
DLBCL_RICOVER_338	0
DLBCL_RICOVER_336	0
DLBCL_RICOVER_197	0
DLBCL_RICOVER_151	0
DLBCL_RICOVER_148	0
DLBCL_RICOVER_1247	0
DLBCL_RICOVER_850	0
DLBCL_C_D_1145_NULLPAIR	0
DLBCL_RICOVER_763	0
DLBCL_MC_F089_MLB	0
DLBCL_LS3200	0
DLBCL_LS2596	0
DLBCL_LS1683	0
DLBCL_LS1583	0
DLBCL_LS1546	0
DLBCL_C_D_1166_NULLPAIR	0
DLBCL_C_D_1163_NULLPAIR	0
DLBCL_C_D_1144_NULLPAIR	0
DLBCL_C_D_1142_NULLPAIR	0
DLBCL_C_D_1140_NULLPAIR	0
DLBCL_C_D_1125_NULLPAIR	0
DLBCL_C_D_1124_NULLPAIR	0
