Sample	PrepType
DLBC_FF_8042_TP_NB	Frozen
DLBC_FF_A7CR_TP_NB	Frozen
DLBC_FF_A7CX_TP_NB	Frozen
DLBC_FF_8062_TP_NB	Frozen
DLBC_FF_8046_TP_NB	Frozen
DLBC_FF_A7CQ_TP_NB	Frozen
DLBC_FF_A7CW_TP_NB	Frozen
DLBC_FF_8043_TP_NB	Frozen
DLBCL_LS2590	Frozen
DLBCL_MC_F500_ECU	Frozen
DLBCL_C_D_1140_NULLPAIR	Frozen
DLBCL_C_D_1144_NULLPAIR	Frozen
DLBCL_MC_F496DMP	Frozen
DLBCL_LS1757	Frozen
DLBCL_LS155	Frozen
DLBCL_C_D_1123_NULLPAIR	Frozen
DLBCL_C_D_1112_NULLPAIR	Frozen
DLBCL_LS3749	Frozen
DLBCL_C_D_1148_NULLPAIR	Frozen
DLBCL_MAYO_DLBCL_7359	Frozen
DLBCL_MC_F362_MJB1	Frozen
DLBCL_LS1683	Frozen
DLBCL_C_D_1157_NULLPAIR	Frozen
DLBCL_MC_F132_MLM	Frozen
DLBCL_MC_F729_MAN	Frozen
DLBCL_C_D_1113_NULLPAIR	Frozen
DLBCL_LS3204	Frozen
DLBCL_LS4054	Frozen
DLBCL_C_D_1125_NULLPAIR	Frozen
DLBCL_C_D_1166_NULLPAIR	Frozen
DLBCL_C_D_1106_NULLPAIR	Frozen
DLBCL_LS2325	Frozen
DLBCL_MC_F606_DMJ	Frozen
DLBCL_DFCI_DLBCL_GOE07	Frozen
DLBCL_BWH_DLBCL64	Frozen
DLBCL_C_D_1141_NULLPAIR	Frozen
DLBCL_C_D_1118_NULLPAIR	Frozen
DLBCL_LS1921	Frozen
DLBCL_LS4616	Frozen
DLBCL_MAYO_DLBCL_5613	Frozen
DLBCL_LS4593	Frozen
DLBCL_MC_F262_WLC	Frozen
DLBCL_C_D_1129_NULLPAIR	Frozen
DLBCL_LS2089	Frozen
DLBCL_LS4619	Frozen
DLBCL_MC_F519_ALT	Frozen
DLBCL_LS3245	Frozen
