PercentTrain	trainingloss	validationloss	bin	PercentTrain_upper
0.023	0.136059738390131	0.122644909990153	(0,0.04]	0.04
0.025	0.134128747768277	0.12287757861694	(0,0.04]	0.04
0.027	0.131582355975324	0.124109125962215	(0,0.04]	0.04
0.029	0.131476885639569	0.119340276783554	(0,0.04]	0.04
0.03	0.133933188338087	0.122612873636951	(0,0.04]	0.04
0.031	0.134870254572976	0.121805036196574	(0,0.04]	0.04
0.032	0.135758056228694	0.126945762346233	(0,0.04]	0.04
0.033	0.137637086842022	0.131624572843845	(0,0.04]	0.04
0.034	0.13637172016779	0.119913768256083	(0,0.04]	0.04
0.036	0.135210136661739	0.124684128100147	(0,0.04]	0.04
0.037	0.134913517548779	0.122932618226124	(0,0.04]	0.04
0.038	0.13498488261806	0.124475260372348	(0,0.04]	0.04
0.04	0.134415571480618	0.122017475007202	(0,0.04]	0.04
0.042	0.13449743555559	0.121723405977626	(0.04,0.08]	0.08
0.043	0.134824318269615	0.120835306381989	(0.04,0.08]	0.08
0.045	0.133301444371678	0.122459880074131	(0.04,0.08]	0.08
0.047	0.118586160853539	0.111539887829817	(0.04,0.08]	0.08
0.048	0.135573927500267	0.123766550072085	(0.04,0.08]	0.08
0.05	0.132483773622207	0.118661182892365	(0.04,0.08]	0.08
0.053	0.13423342358594	0.123136248534346	(0.04,0.08]	0.08
0.054	0.106976826274279	0.0953995733621663	(0.04,0.08]	0.08
0.056	0.134215031525932	0.122091902801102	(0.04,0.08]	0.08
0.057	0.107915596288599	0.0947051996232144	(0.04,0.08]	0.08
0.059	0.133526307038368	0.120127302327492	(0.04,0.08]	0.08
0.061	0.110800827086767	0.0945633828887366	(0.04,0.08]	0.08
0.062	0.133191900218929	0.120386540451743	(0.04,0.08]	0.08
0.065	0.118465969078185	0.1061990502411	(0.04,0.08]	0.08
0.067	0.134520059916192	0.123503607552644	(0.04,0.08]	0.08
0.069	0.108762002191731	0.0908992115624382	(0.04,0.08]	0.08
0.07	0.104587927119115	0.0973040412978402	(0.04,0.08]	0.08
0.071	0.13208905458687	0.119694170113113	(0.04,0.08]	0.08
0.074	0.115048764665863	0.101257355496013	(0.04,0.08]	0.08
0.075	0.0836444517549932	0.0732610094834984	(0.04,0.08]	0.08
0.077	0.129618974174483	0.116866295921407	(0.04,0.08]	0.08
0.08	0.111862067087775	0.0973991533826587	(0.04,0.08]	0.08
0.081	0.0833619864029567	0.0725714156412453	(0.08,0.12]	0.12
0.083	0.128642930708443	0.11455378217154	(0.08,0.12]	0.12
0.086	0.0821571818137732	0.0709346076754237	(0.08,0.12]	0.12
0.087	0.112925248872008	0.097412317730854	(0.08,0.12]	0.12
0.088	0.0746791565377787	0.0671441911753001	(0.08,0.12]	0.12
0.091	0.121547786815041	0.109338554229041	(0.08,0.12]	0.12
0.093	0.0884965170749753	0.0795420170927952	(0.08,0.12]	0.12
0.094	0.0801015721244124	0.0677340678549149	(0.08,0.12]	0.12
0.095	0.115741365169721	0.10201476009388	(0.08,0.12]	0.12
0.097	0.093848773249873	0.081396555765033	(0.08,0.12]	0.12
0.1	0.119362136442561	0.104299849835787	(0.08,0.12]	0.12
0.103	0.0811934441990957	0.0727976010322371	(0.08,0.12]	0.12
0.105	0.112358012066838	0.0993431221045154	(0.08,0.12]	0.12
0.107	0.0912706447964324	0.0816576445465717	(0.08,0.12]	0.12
0.108	0.0680779230962284	0.0616396646614053	(0.08,0.12]	0.12
0.111	0.11183220535745	0.0974372108450932	(0.08,0.12]	0.12
0.114	0.063792442954594	0.057294593647904	(0.08,0.12]	0.12
0.115	0.0921497358243969	0.0813727554669308	(0.08,0.12]	0.12
0.116	0.072615248908486	0.0670420072814782	(0.08,0.12]	0.12
0.118	0.111036844343683	0.095649372844154	(0.08,0.12]	0.12
0.12	0.0871244625055061	0.0759087996551118	(0.08,0.12]	0.12
0.121	0.0634995810955932	0.0574461717473501	(0.12,0.16]	0.16
0.125	0.105067693517541	0.0918195265965056	(0.12,0.16]	0.16
0.129	0.0683882810137167	0.0606317358719284	(0.12,0.16]	0.16
0.13	0.088173936385095	0.0760318453977745	(0.12,0.16]	0.16
0.133	0.112768593914391	0.100237697776527	(0.12,0.16]	0.16
0.135	0.0575471663479491	0.0528601162721835	(0.12,0.16]	0.16
0.136	0.0898356415217543	0.0795043950046723	(0.12,0.16]	0.16
0.138	0.0644082788498936	0.0619801712704688	(0.12,0.16]	0.16
0.14	0.0617605074959041	0.0560856442461954	(0.12,0.16]	0.16
0.143	0.101469665207896	0.0882766661387578	(0.12,0.16]	0.16
0.147	0.0463812340712554	0.0418717623106204	(0.12,0.16]	0.16
0.148	0.0704731059653108	0.0627905570529817	(0.12,0.16]	0.16
0.15	0.0796231824174999	0.0697790081002971	(0.12,0.16]	0.16
0.152	0.0510549454539402	0.0474544581819437	(0.12,0.16]	0.16
0.154	0.101772439518542	0.0886198476669267	(0.12,0.16]	0.16
0.156	0.0495607019006758	0.0472068919847342	(0.12,0.16]	0.16
0.158	0.0886155187586366	0.0781433205914384	(0.12,0.16]	0.16
0.16	0.0679437953449395	0.0605924244611482	(0.12,0.16]	0.16
0.161	0.0521271373149961	0.049276795769921	(0.16,0.2]	0.2
0.162	0.0516054205610236	0.0463869023577509	(0.16,0.2]	0.2
0.163	0.0535275972939408	0.0511781857556863	(0.16,0.2]	0.2
0.167	0.096396844735078	0.0831891547130737	(0.16,0.2]	0.2
0.171	0.0449714734301419	0.0441932427352835	(0.16,0.2]	0.2
0.172	0.0514954964587858	0.0502084658240034	(0.16,0.2]	0.2
0.174	0.0688527521460686	0.061978161613119	(0.16,0.2]	0.2
0.175	0.036549802407998	0.0446144906444325	(0.16,0.2]	0.2
0.176	0.0862792324569412	0.0741436649439204	(0.16,0.2]	0.2
0.179	0.0545435839182827	0.0529127336328146	(0.16,0.2]	0.2
0.182	0.0903609705817904	0.0799844137926607	(0.16,0.2]	0.2
0.185	0.056554321681334	0.051303966555549	(0.16,0.2]	0.2
0.186	0.0471442787667231	0.0453480136451876	(0.16,0.2]	0.2
0.188	0.0835325443266938	0.0735636599400115	(0.16,0.2]	0.2
0.189	0.0481460337685675	0.0446412464558047	(0.16,0.2]	0.2
0.19	0.071336854257627	0.0631126635838242	(0.16,0.2]	0.2
0.192	0.0573380658335092	0.0524144029706284	(0.16,0.2]	0.2
0.194	0.0435669684962924	0.0440047545198467	(0.16,0.2]	0.2
0.2	0.0783852667894615	0.0696645583750321	(0.16,0.2]	0.2
0.206	0.0300868120870439	0.0348919915023933	(0.2,0.24]	0.24
0.207	0.0432860951580611	0.0458557192427438	(0.2,0.24]	0.24
0.208	0.0575607550264165	0.0506751515851498	(0.2,0.24]	0.24
0.209	0.0423783665129931	0.0400649292091007	(0.2,0.24]	0.24
0.211	0.0701352599865551	0.0638387414058559	(0.2,0.24]	0.24
0.212	0.0362330048962324	0.0370213399749965	(0.2,0.24]	0.24
0.214	0.0823517618005606	0.0717862950083473	(0.2,0.24]	0.24
0.216	0.0448422385143659	0.0415899979478646	(0.2,0.24]	0.24
0.217	0.0549956806748361	0.0517567229362338	(0.2,0.24]	0.24
0.219	0.0366510945375592	0.0359011785098811	(0.2,0.24]	0.24
0.222	0.0718622723223575	0.0633761788152423	(0.2,0.24]	0.24
0.225	0.0283364610732612	0.0413943840056682	(0.2,0.24]	0.24
0.226	0.0382613166351517	0.0402454977247544	(0.2,0.24]	0.24
0.227	0.0568893895608319	0.0538703451678018	(0.2,0.24]	0.24
0.229	0.0347003352504058	0.0347529402007141	(0.2,0.24]	0.24
0.231	0.0763815490526164	0.0666949858148524	(0.2,0.24]	0.24
0.233	0.0409104937125224	0.0393893207713387	(0.2,0.24]	0.24
0.235	0.0670002928818292	0.0591594458469005	(0.2,0.24]	0.24
0.238	0.0565605148295803	0.0513448923104858	(0.2,0.24]	0.24
0.24	0.043796340517804	0.0426476948177618	(0.2,0.24]	0.24
0.241	0.0370602028872236	0.0403742555453001	(0.24,0.28]	0.28
0.242	0.0310984091662765	0.0313119983181553	(0.24,0.28]	0.28
0.243	0.0420862364262906	0.0385566819521565	(0.24,0.28]	0.28
0.25	0.0660501408346772	0.0593784507494485	(0.24,0.28]	0.28
0.256	0.0309032295270481	0.0358639151787169	(0.24,0.28]	0.28
0.257	0.0316147464299122	0.0352161034529022	(0.24,0.28]	0.28
0.258	0.0336734201294067	0.0368974251208393	(0.24,0.28]	0.28
0.259	0.0394968284726828	0.0392417163602658	(0.24,0.28]	0.28
0.261	0.0442909455628201	0.0437535746949512	(0.24,0.28]	0.28
0.263	0.0571161576254793	0.0536003435952547	(0.24,0.28]	0.28
0.265	0.0238180987331995	0.0304276905184711	(0.24,0.28]	0.28
0.267	0.0669350631717326	0.0618889821451462	(0.24,0.28]	0.28
0.269	0.0396058263002594	0.0404488775441836	(0.24,0.28]	0.28
0.27	0.0383917347123371	0.0365545531629842	(0.24,0.28]	0.28
0.273	0.0657964671210717	0.0588834659339493	(0.24,0.28]	0.28
0.275	0.0237779704596918	0.0369746361050471	(0.24,0.28]	0.28
0.276	0.0319021940843119	0.0387114325237364	(0.24,0.28]	0.28
0.278	0.0555135008243834	0.0499762361580256	(0.24,0.28]	0.28
0.279	0.0266841404477573	0.0334080158920966	(0.24,0.28]	0.28
0.28	0.036681693834815	0.0366129458695598	(0.24,0.28]	0.28
0.281	0.0282105705229936	0.0306950130624976	(0.28,0.32]	0.32
0.286	0.0572257571432312	0.0520533046023465	(0.28,0.32]	0.32
0.29	0.0304075676011018	0.0344136686521129	(0.28,0.32]	0.32
0.292	0.0379601885943108	0.0374894443160957	(0.28,0.32]	0.32
0.294	0.0533398717361597	0.0494658207544313	(0.28,0.32]	0.32
0.296	0.0343969682708179	0.034658363433469	(0.28,0.32]	0.32
0.297	0.036394454951712	0.0364496587956507	(0.28,0.32]	0.32
0.3	0.0599219752899865	0.0547558182073036	(0.28,0.32]	0.32
0.302	0.0233055362570712	0.03134062607413	(0.28,0.32]	0.32
0.303	0.0242486372298745	0.0288659446416334	(0.28,0.32]	0.32
0.304	0.0369316153166525	0.0394780536883999	(0.28,0.32]	0.32
0.308	0.0578818944730733	0.0530835543365197	(0.28,0.32]	0.32
0.31	0.0280194795421129	0.0387576138934621	(0.28,0.32]	0.32
0.312	0.0522413044935421	0.0502249407442062	(0.28,0.32]	0.32
0.314	0.0271861796686974	0.0281420186612584	(0.28,0.32]	0.32
0.316	0.0473372526563657	0.0455771944981755	(0.28,0.32]	0.32
0.318	0.0385701175967796	0.0385202117486014	(0.28,0.32]	0.32
0.32	0.0316094541645196	0.0345000702742254	(0.28,0.32]	0.32
0.321	0.0282355367415703	0.035033631922822	(0.32,0.36]	0.36
0.323	0.0276235669026491	0.0315758377830336	(0.32,0.36]	0.36
0.324	0.0284002146447984	0.0320539234417083	(0.32,0.36]	0.36
0.325	0.0211948587181475	0.0350435319504478	(0.32,0.36]	0.36
0.326	0.0216061492839823	0.0299796363438612	(0.32,0.36]	0.36
0.333	0.0501157056869765	0.0470428384999129	(0.32,0.36]	0.36
