addInFraction	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	sv_count_total	sv_count_added	mut_count_total	mut_count_added	amp_count_total	amp_count_added	del_count_total	del_count_added
0.0	0.9090909090909091	0.9792207792207792	0.8981693224391403	0.9068853945687456	0.8247957283941639	0.17537824057651655	0.8953120213980179	0.9199039397844939	0.8911475052112903	0.9051911396669903	0.8911084804724573	0.920052339670228	237.0	0.0	4916.0	0.0	2796.0	0.0	2310.0	0.0
0.05	0.7745454545454545	0.8961038961038961	0.848332394200534	0.788257799153873	0.7576666366608734	0.1875254413383368	0.7557451978108758	0.7913554578558235	0.8355257232464339	0.861139065154634	0.7653189954772948	0.8094768598240608	323.0	86.0	7460.0	2544.0	3497.0	701.0	2993.0	683.0
0.1	0.7018181818181818	0.8	0.8221774240704053	0.7229858837219941	0.7160946148480776	0.18964344373460854	0.681606325051297	0.7205670229720421	0.8067701197761249	0.8375847283646857	0.6977213473212805	0.7469845388173967	384.0	147.0	9828.0	4912.0	4261.0	1465.0	3719.0	1409.0
0.15	0.6072727272727273	0.6961038961038961	0.7721581189418322	0.6343649809928625	0.6680564663965396	0.19311425684618938	0.5860951909129672	0.6276726307440169	0.7529477929285562	0.7913684449551082	0.6067504924488164	0.6613154221710662	432.0	195.0	12303.0	7387.0	4941.0	2145.0	4421.0	2111.0
0.2	0.5036363636363637	0.561038961038961	0.7115476614500638	0.5348951987030197	0.6364343127007537	0.18086731701542372	0.48234187736371237	0.5249044895396187	0.6898943515274656	0.7332009713726619	0.5066115338732512	0.5631559759113981	537.0	300.0	14810.0	9894.0	5643.0	2847.0	5163.0	2853.0
0.25	0.41818181818181815	0.45714285714285713	0.6306239631451938	0.4483923520742293	0.620611295608598	0.1745025460239279	0.39748197507136745	0.4394747704691062	0.6131505401980917	0.6480973860922958	0.4226232045054074	0.47472223864810287	584.0	347.0	17340.0	12424.0	6410.0	3614.0	5815.0	3505.0
0.3	0.33090909090909093	0.37922077922077924	0.5885638525847585	0.36266144832140684	0.6132970205999628	0.16134835792158783	0.31148777012275114	0.3515561772747672	0.5726763424406142	0.6044513627289029	0.3389893718965205	0.3875663748367612	653.0	416.0	19846.0	14930.0	7106.0	4310.0	6615.0	4305.0
0.35	0.30727272727272725	0.34545454545454546	0.5869613366431613	0.33964065946939337	0.6001102243465329	0.15816483544585452	0.28832565670083127	0.32761691036199936	0.5727276189866854	0.6011950542996372	0.3169331299721718	0.3637984459773152	727.0	490.0	22348.0	17432.0	7822.0	5026.0	7213.0	4903.0
0.4	0.24909090909090909	0.2857142857142857	0.5349640277173504	0.27889834910876954	0.6222021824161834	0.15744998670257265	0.2315771508467341	0.2684235652897232	0.527460132936079	0.5424679224986219	0.2587790420371674	0.3010279533959097	819.0	582.0	24758.0	19842.0	8517.0	5721.0	7971.0	5661.0
0.45	0.2290909090909091	0.24155844155844156	0.5401944428932381	0.25891304616346666	0.6213387203541462	0.14850273700328448	0.2121675847287511	0.24797812423485954	0.5299275790143154	0.5504613067721609	0.23904774242639268	0.28094224317034694	874.0	637.0	27231.0	22315.0	9255.0	6459.0	8676.0	6366.0
