addInFraction	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	sv_count_total	sv_count_added	mut_count_total	mut_count_added	amp_count_total	amp_count_added	del_count_total	del_count_added
0.0	0.8859060402684564	0.9714285714285714	0.9069109553812545	0.8900288220574138	0.7992496043921693	0.18034878253625816	0.8545785881388002	0.9069944670255577	0.8963180674836778	0.9175038432788313	0.8562477635679199	0.9140828647310394	64.0	0.0	1316.0	0.0	885.0	0.0	702.0	0.0
0.05	0.7315436241610739	0.8571428571428571	0.784959544834846	0.7416371975105843	0.7580095994514273	0.19960589685073815	0.69232152252195	0.7646236541167516	0.7542619085871419	0.81565718108255	0.6915038219590166	0.7868105738859572	81.0	17.0	1992.0	676.0	1036.0	151.0	886.0	184.0
0.1	0.7046979865771812	0.8	0.8423397660080775	0.7285061668822023	0.6739523389795564	0.18459155366278526	0.6647931583555917	0.7391729401991414	0.8083710405506707	0.8763084914654843	0.6770017804983348	0.7754972767767687	96.0	32.0	2683.0	1367.0	1215.0	330.0	1051.0	349.0
0.15	0.5436241610738255	0.6666666666666666	0.7287936366617309	0.5727275028202693	0.6583825396098607	0.19621774353281624	0.5025079289575044	0.5835832490008579	0.688679390992549	0.7689078823309128	0.5183157552773704	0.6261497476635639	116.0	52.0	3309.0	1993.0	1414.0	529.0	1245.0	543.0
0.2	0.40939597315436244	0.4380952380952381	0.6168367967544799	0.4389173565804124	0.6101518402180163	0.16750271957768992	0.37056917554594204	0.4506260821682223	0.5871123298436165	0.6465612636653433	0.3916332187341687	0.48853004392671906	140.0	76.0	4005.0	2689.0	1633.0	748.0	1425.0	723.0
0.25	0.436241610738255	0.44761904761904764	0.6382247112329166	0.46571946044403284	0.608242819824688	0.17103880465739982	0.3967234190265051	0.4774510160203742	0.604576343487218	0.6718730789786151	0.4162407386821807	0.5167788381844514	153.0	89.0	4702.0	3386.0	1825.0	940.0	1621.0	919.0
0.3	0.348993288590604	0.3619047619047619	0.5719740313252741	0.3785048723109459	0.6347747112197907	0.17088042732514946	0.31217167266983126	0.38982047369246564	0.5489371177833982	0.5950109448671501	0.3353064628908281	0.4258162354948017	179.0	115.0	5369.0	4053.0	2016.0	1131.0	1815.0	1113.0
0.35	0.26174496644295303	0.29523809523809524	0.5746139855674735	0.29373147603018646	0.5898098683194617	0.1574266911417396	0.22903878799833666	0.3007712721641763	0.5506191541049935	0.5986088170299534	0.25475432016100263	0.33951488266823454	204.0	140.0	6029.0	4713.0	2233.0	1348.0	2022.0	1320.0
0.4	0.26174496644295303	0.24761904761904763	0.5681226573358934	0.29338875621331706	0.5991672306777974	0.15239056834655015	0.22903878799833666	0.3007712721641763	0.541306316592049	0.5949389980797378	0.2538954009640765	0.33959918716072907	224.0	160.0	6691.0	5375.0	2405.0	1520.0	2232.0	1530.0
0.45	0.2214765100671141	0.22857142857142856	0.5499119453399066	0.2515207065770448	0.6061030167937371	0.14680078236207325	0.19124428276630526	0.25909726992065263	0.53197825515364	0.5678456355261733	0.2160327316295126	0.29524006727796454	232.0	168.0	7347.0	6031.0	2595.0	1710.0	2415.0	1713.0
0.5	0.18791946308724833	0.20952380952380953	0.5210257070213825	0.21547075373889105	0.6049479814514201	0.14495440629814127	0.16008907137747155	0.22402886004655176	0.5103811642423137	0.5316702498004513	0.18313417962907286	0.2572603719152091	258.0	194.0	8058.0	6742.0	2780.0	1895.0	2588.0	1886.0
0.55	0.174496644295302	0.21904761904761905	0.5143816811002468	0.2010684083728842	0.6301945657470129	0.1356295957448369	0.14772730937659384	0.20990122506027897	0.5062009821885426	0.5225623800119511	0.1699550664111459	0.24212013309146174	275.0	211.0	8625.0	7309.0	2924.0	2039.0	2785.0	2083.0
0.6	0.1610738255033557	0.18095238095238095	0.5214972117398452	0.18690967527000146	0.6361719860733249	0.12208393274781074	0.13543024895360345	0.19570892880037682	0.5086185385593368	0.5343758849203536	0.15670260424864563	0.22748095553901965	296.0	232.0	9291.0	7975.0	3124.0	2239.0	2944.0	2242.0
0.65	0.16778523489932887	0.17142857142857143	0.5115868811984755	0.19383825260142482	0.6375104838818392	0.10688174942156145	0.1415703255562573	0.2028135249087072	0.5065584929505716	0.5166152694463794	0.1634030825716845	0.23446870224073174	321.0	257.0	10004.0	8688.0	3340.0	2455.0	3155.0	2453.0
