dropout_probability	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	sv_count_total	sv_count_dropped	mut_count_total	mut_count_dropped	amp_count_total	amp_count_dropped	del_count_total	del_count_dropped
0.0	0.9054545454545454	0.974025974025974	0.8885543738676562	0.902023275836088	0.8243161466329949	0.1778452824502001	0.8914735803335582	0.9164960327310944	0.879691158912095	0.8974175888232174	0.8851071523500014	0.9165198149685622	237.0	0.0	4916.0	0.0	2796.0	0.0	2310.0	0.0
0.05	0.9	0.9688311688311688	0.8816903133510864	0.8962774775867234	0.8213694143275704	0.17707048761113503	0.88572617420137	0.9113739140043953	0.871976091383975	0.8914045353181977	0.8786197585530118	0.9116066628735301	223.0	14.0	4681.0	235.0	2656.0	140.0	2185.0	125.0
0.1	0.8563636363636363	0.961038961038961	0.8745037695818225	0.8599312062661888	0.8112867269641435	0.18459413282902648	0.8401067295252542	0.8700370861061978	0.8641873979524493	0.8848201412111958	0.8403388114232172	0.8773345636142398	206.0	31.0	4422.0	494.0	2561.0	235.0	2091.0	219.0
0.15	0.8745454545454545	0.9532467532467532	0.8779648350400839	0.8752271982077243	0.8198541000878502	0.17455699433711436	0.8590457664887264	0.8873298414186251	0.8684588794246965	0.8874707906554714	0.8566913447577962	0.8914629819118247	195.0	42.0	4166.0	750.0	2390.0	406.0	1990.0	320.0
0.2	0.8272727272727273	0.9454545454545454	0.8418421105435953	0.8301461204776008	0.8115511699727854	0.17581811355740443	0.8099677736600893	0.8422051535471486	0.8261947076473379	0.8574895134398526	0.8064617562656688	0.8520764001305613	202.0	35.0	3926.0	990.0	2192.0	604.0	1854.0	456.0
0.25	0.8127272727272727	0.9298701298701298	0.8584336479251601	0.8214749829026549	0.797618166247452	0.18697504885619848	0.7949625732235742	0.8282249033414191	0.8455348111240445	0.8713324847262757	0.7992755934835561	0.8417961763392064	179.0	58.0	3694.0	1222.0	2128.0	668.0	1758.0	552.0
0.3	0.7963636363636364	0.9064935064935065	0.8257175027488143	0.8020662514831464	0.7989338247959337	0.18320950028245367	0.7781265188736565	0.8124523221095067	0.8109091192684966	0.8405258862291319	0.778287968528614	0.8241519219126745	172.0	65.0	3482.0	1434.0	1982.0	814.0	1574.0	736.0
0.35	0.7854545454545454	0.8805194805194805	0.8230964773156644	0.7927049582179493	0.7824128806315451	0.18839515706783852	0.7669267762525817	0.8019129726372641	0.807353314698467	0.8388396399328617	0.768172016513984	0.8156263065533779	153.0	84.0	3190.0	1726.0	1857.0	939.0	1476.0	834.0
0.4	0.7509090909090909	0.8727272727272727	0.8135500538427342	0.7626535065874388	0.7754718880624445	0.1873452960644873	0.7315764347102768	0.7684228491532656	0.7981669753604105	0.8289331323250578	0.7378417486384764	0.7859786116135193	148.0	89.0	2953.0	1963.0	1670.0	1126.0	1382.0	928.0
0.45	0.7581818181818182	0.8701298701298701	0.8279330527566096	0.7711757334023395	0.7670401114005513	0.18879996115045833	0.7390048637708916	0.7754871502843972	0.8134716107794038	0.8423944947338153	0.7470381285573102	0.7937485242807589	135.0	102.0	2745.0	2171.0	1523.0	1273.0	1273.0	1037.0
0.5	0.7218181818181818	0.8389610389610389	0.8141581745667548	0.7385716086377815	0.7486288592928215	0.20121754513627388	0.7019299358112877	0.7400984243861073	0.7971967495656519	0.8311195995678576	0.7126021219040987	0.7632301141370991	124.0	113.0	2484.0	2432.0	1445.0	1351.0	1147.0	1163.0
0.55	0.7	0.7896103896103897	0.7818579173695973	0.7149710163647485	0.7442423078602523	0.18998728695209197	0.6797609551338368	0.7187892098934887	0.763777415816428	0.7999384189227666	0.6880193390449783	0.7407661248599695	115.0	122.0	2187.0	2729.0	1259.0	1537.0	1034.0	1276.0
0.6	0.6745454545454546	0.7688311688311689	0.7660993184539534	0.6910627556201941	0.7394515352095444	0.19182417580725422	0.6539631152515157	0.6938624867876553	0.7471919419782982	0.7850066949296086	0.6634546649167354	0.7176615224328491	104.0	133.0	1998.0	2918.0	1086.0	1710.0	924.0	1386.0
0.65	0.6854545454545454	0.8025974025974026	0.7879149213372627	0.7037578656460532	0.731600109510602	0.19900377637296074	0.6650109210020464	0.704553779685132	0.7684315816102746	0.8073982610642508	0.676004864243076	0.7304487410498915	90.0	147.0	1734.0	3182.0	981.0	1815.0	818.0	1492.0
0.7	0.6127272727272727	0.7376623376623377	0.7561751258004242	0.6368911646878895	0.6894898973323604	0.204520325923633	0.591582066644077	0.633055305036573	0.7371137574312341	0.7752364941696144	0.6092203344275172	0.6638729955204057	67.0	170.0	1438.0	3478.0	858.0	1938.0	667.0	1643.0
0.75	0.5672727272727273	0.6779220779220779	0.7444749373788129	0.5956273367208716	0.6731496659305789	0.20146769330314543	0.5459395950810422	0.5881181921542052	0.7232385406136324	0.7657113341439934	0.5670618318622205	0.623782810067637	56.0	181.0	1191.0	3725.0	724.0	2072.0	579.0	1731.0
0.8	0.5418181818181819	0.6441558441558441	0.7363180366424854	0.5720392394279848	0.6386682902955358	0.20599330215405512	0.5204589468829384	0.5628742723927418	0.7155686930094215	0.7570673802755493	0.5438923681243736	0.5999241460515758	39.0	198.0	1004.0	3912.0	562.0	2234.0	448.0	1862.0
0.85	0.4818181818181818	0.5558441558441558	0.7150531489479243	0.5154434998588626	0.5978176237836083	0.21451915263253094	0.4606162238164791	0.5031519416757684	0.6940789673520352	0.7360273305438133	0.4877993024705286	0.5432059043924086	43.0	194.0	684.0	4232.0	420.0	2376.0	347.0	1963.0
0.9	0.44727272727272727	0.5428571428571428	0.7233939657040797	0.4842398318992264	0.5406110414930058	0.2179552997469408	0.42630006388578284	0.46862761624325866	0.7045361837840967	0.7422517476240627	0.4579410268830582	0.5109031132184004	25.0	212.0	483.0	4433.0	276.0	2520.0	217.0	2093.0
0.95	0.3381818181818182	0.3922077922077922	0.6550882375763644	0.3744065028621796	0.5243821309736848	0.1798473891646451	0.31862613975592236	0.3589105403310524	0.6357182692754735	0.6744582058772552	0.34984164133880835	0.4001380088903506	34.0	203.0	785.0	4131.0	307.0	2489.0	268.0	2042.0
1.0	0.19818181818181818	0.16623376623376623	0.6245099758400922	0.22951844333833338	0.42739171616913896	0.14040314337772147	0.1822851438422863	0.2162664696109825	0.6044447443735141	0.6445752073066702	0.209566819436764	0.2518417046457805	18.0	219.0	523.0	4393.0	180.0	2616.0	150.0	2160.0
