dropout_probability	accuracyAll	accuracyTop	Kappa	Performance	meanconfidence	stdconfidence	lowerAccuracy	upperAccuracy	lowerKappa	upperKappa	lowerPerformance	upperPerformance	sv_count_total	sv_count_dropped	mut_count_total	mut_count_dropped	amp_count_total	amp_count_dropped	del_count_total	del_count_dropped
0.0	0.8859060402684564	0.9714285714285714	0.9069109553812545	0.8900288220574138	0.7992496043921693	0.18034878253625816	0.8545785881388002	0.9069944670255577	0.8963180674836778	0.9175038432788313	0.8562477635679199	0.9140828647310394	64.0	0.0	1316.0	0.0	885.0	0.0	702.0	0.0
0.05	0.8791946308724832	0.9523809523809523	0.9083962618681308	0.8848837889998544	0.797683951318541	0.1788826173631342	0.8473266014791256	0.9010019190643697	0.8985308149228444	0.9182617088134173	0.8507677992554287	0.9092992146198362	63.0	1.0	1241.0	75.0	834.0	51.0	666.0	36.0
0.1	0.8791946308724832	0.9619047619047619	0.8811277608887109	0.8795805779944526	0.7972251602475467	0.1830228898529095	0.8473266014791256	0.9010019190643697	0.8632852584928435	0.8989702632845783	0.8423392365912978	0.9083014095947576	57.0	7.0	1178.0	138.0	818.0	67.0	631.0	71.0
0.15	0.8523489932885906	0.9523809523809523	0.8761832004729893	0.857011531990968	0.8047899687374171	0.1820037988750708	0.8185543354270217	0.8767957924765966	0.8568741417462072	0.8954922591997713	0.817389316231038	0.8886098096239315	59.0	5.0	1099.0	217.0	738.0	147.0	610.0	92.0
0.2	0.8389261744966443	0.8952380952380953	0.8624418950081938	0.8435261656777472	0.7853138368051354	0.1832976513700852	0.8042910711996232	0.8645697510463966	0.8467281173451374	0.8781556726712502	0.8047324711127395	0.8741207068488801	51.0	13.0	1049.0	267.0	719.0	166.0	574.0	128.0
0.25	0.7718120805369127	0.8952380952380953	0.8240121278370024	0.7817162122544993	0.7760630289488263	0.19656777342181916	0.7339280628944652	0.8024856432586729	0.7963695597673279	0.8516546959066769	0.734375223077926	0.8231386045688884	48.0	16.0	969.0	347.0	680.0	205.0	520.0	182.0
0.3	0.7718120805369127	0.8952380952380953	0.8384688210198388	0.7842818759933412	0.7730823049827602	0.1855948063628265	0.7339280628944652	0.8024856432586729	0.818226645043023	0.8587109969966545	0.7406113338161189	0.8214143266513558	46.0	18.0	948.0	368.0	600.0	285.0	481.0	221.0
0.35	0.7785234899328859	0.8952380952380953	0.852475735582899	0.7922693587700033	0.779006191684834	0.18448969636095766	0.7409027300793474	0.8087557172336947	0.8338940131333645	0.8710574580324335	0.7495263126604095	0.8281836509014634	41.0	23.0	844.0	472.0	552.0	333.0	444.0	258.0
0.4	0.7248322147651006	0.7904761904761904	0.7852150335457118	0.7361542260168293	0.7520479581412023	0.19531526111705144	0.6854245860064594	0.7582758247080819	0.7459119737046186	0.8245180933868049	0.680729313790005	0.7872227951030192	36.0	28.0	777.0	539.0	530.0	355.0	413.0	289.0
0.45	0.6912751677852349	0.7714285714285715	0.7539307549908215	0.7029590827386788	0.754002524019536	0.19254666325880068	0.6510863694911273	0.7263901773144938	0.716736947707405	0.791124562274238	0.6483635478664675	0.753672322604396	29.0	35.0	732.0	584.0	496.0	389.0	377.0	325.0
0.5	0.6711409395973155	0.7523809523809524	0.7596116757607233	0.6871471210696357	0.7393330061283062	0.18664239548658343	0.6305939919695844	0.7071482145258973	0.7249020722309011	0.7943212792905455	0.6341658187381479	0.7364501471434649	31.0	33.0	645.0	671.0	445.0	440.0	374.0	328.0
0.55	0.7114093959731543	0.780952380952381	0.7811701631875758	0.7243466483932717	0.7382943823077944	0.18197264873167548	0.6716606125525976	0.745550258940867	0.7564739348489496	0.805866391526202	0.6770134468240091	0.7667268646700732	33.0	31.0	555.0	761.0	402.0	483.0	328.0	374.0
0.6	0.6711409395973155	0.7904761904761904	0.7973198940252642	0.6930773741613259	0.7125071273632416	0.20228515861387011	0.6305939919695844	0.7071482145258973	0.7630271313403838	0.8316126567101445	0.6408014231954383	0.7415639965112896	22.0	42.0	518.0	798.0	354.0	531.0	285.0	417.0
0.65	0.6912751677852349	0.8095238095238095	0.8024103424144677	0.7109692539701754	0.7203266153086201	0.18607824312851864	0.6510863694911273	0.7263901773144938	0.7757827645213626	0.8290379203075728	0.6625717376869525	0.7548494537186793	24.0	40.0	451.0	865.0	297.0	588.0	260.0	442.0
0.7	0.6510067114093959	0.7238095238095238	0.7498588378736526	0.6686356441951767	0.7008894465087383	0.1878512208611547	0.6101795263075344	0.6878283273301689	0.7156688064933894	0.7840488692539158	0.6158821376769972	0.7180764867711537	22.0	42.0	401.0	915.0	257.0	628.0	206.0	496.0
0.75	0.5838926174496645	0.6761904761904762	0.7081231195335246	0.6051247885894454	0.6767861019264637	0.2095418139120935	0.542656465449792	0.6229034832059704	0.6608900398570764	0.7553561992099728	0.5453014026020999	0.6632749349542428	15.0	49.0	344.0	972.0	211.0	674.0	173.0	529.0
0.8	0.5570469798657718	0.6285714285714286	0.7650607859316111	0.5890802032126152	0.6181651776398529	0.19496152703507896	0.5158613006167139	0.5967194689809139	0.7270251838676797	0.8030963879955425	0.5358071779756179	0.6410219005977962	8.0	56.0	262.0	1054.0	166.0	719.0	149.0	553.0
0.85	0.5436241610738255	0.6095238095238096	0.7361547403296522	0.573629029128212	0.6627424352996206	0.20853128193534967	0.5025079289575044	0.5835832490008579	0.6959294705506754	0.776380010108629	0.5192759190985454	0.6269888055510233	13.0	51.0	224.0	1092.0	113.0	772.0	121.0	581.0
0.9	0.3624161073825503	0.4095238095238095	0.639396259684248	0.3967935146492588	0.5429704359649568	0.2149810402443115	0.32509325533941485	0.40338846532946915	0.6097047550818255	0.6690877642866704	0.3515021298846983	0.44577416264651903	8.0	56.0	127.0	1189.0	88.0	797.0	66.0	636.0
0.95	0.3221476510067114	0.3523809523809524	0.6453812165370921	0.35800876593855574	0.5115260209639122	0.1835971125221463	0.2864289598625678	0.3625840520070238	0.612961883559924	0.6778005495142603	0.31402615065839007	0.4068314102712263	8.0	56.0	196.0	1120.0	89.0	796.0	60.0	642.0
1.0	0.2348993288590604	0.23809523809523808	0.6614828452282928	0.2696824146396869	0.41981175295428064	0.1331368990512894	0.20379648003182724	0.2730345594789769	0.6222701489398316	0.7006955415167541	0.2302790804480514	0.3165724359059924	4.0	60.0	129.0	1187.0	48.0	837.0	34.0	668.0
