membership:sample_set_id	sample
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe01-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe05-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe07-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe08-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe13-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe16-Normal
shipp_dlbclass_normal_samples	DFCI_DLBCL_Goe17-Normal
shipp_dlbclass_normal_samples	DLBCL-LS2325-Normal
shipp_dlbclass_normal_samples	DLBCL-LS2326-Normal
shipp_dlbclass_normal_samples	DLBCL-LS3271-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4054-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4222-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4323-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4394-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4592-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4593-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4616-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4618-Normal
shipp_dlbclass_normal_samples	DLBCL-LS4619-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1065-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1098-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1304-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1395-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls146-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls148-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1546-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls155-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1583-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1620-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1668-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1683-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1757-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1899-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls1921-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2089-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2154-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2208-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2245-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2258-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2264-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2287-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2305-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2328-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2357-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2367-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2590-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2595-Normal
shipp_dlbclass_normal_samples	DLBCL-Ls2596-Normal
