rank	gene	longname	codelen	nnei	nncd	nsil	nmis	nstp	nspl	nind	nnon	npat	nsite	pCV	pCL	pFN	p	q
1	MYD88	myeloid differentiation primary response gene (88)	1012	68	0	1	159	2	1	1	163	157	22	1.000000e-16	1.000000e-05	1.000000e-05	1.000000e-16	8.841720e-14
2	TP53	tumor protein p53	1889	3	1	3	127	19	9	13	168	154	101	2.796616e-15	1.000000e-05	1.000000e-05	1.000000e-16	8.841720e-14
3	CREBBP	CREB binding protein (Rubinstein-Taybi syndrome)	7449	9	0	9	83	25	17	27	152	124	122	3.068013e-15	1.000000e-05	4.122700e-01	1.000000e-16	8.841720e-14
4	HLA-B	major histocompatibility complex, class I, B	1119	2	0	5	46	27	15	9	97	83	65	1.000000e-16	6.082000e-02	1.000000e-05	1.000000e-16	8.841720e-14
5	TBL1XR1	transducin (beta)-like 1 X-linked receptor 1	1601	17	0	4	60	0	9	13	82	75	48	2.282498e-15	1.000000e-05	1.173900e-01	1.000000e-16	8.841720e-14
6	GNA13	guanine nucleotide binding protein (G protein), alpha 13	1146	7	0	5	69	17	4	10	100	67	88	1.000000e-16	6.000000e-03	7.130000e-01	1.000000e-16	8.841720e-14
7	FAS	Fas (TNF receptor superfamily, member 6)	1044	3	0	0	24	17	11	20	72	65	49	1.645210e-16	1.000000e-05	7.085000e-02	1.000000e-16	8.841720e-14
8	HLA-A	major histocompatibility complex, class I, A	1128	70	0	2	32	21	8	14	75	65	53	1.000000e-16	1.294000e-02	1.000000e-05	1.000000e-16	8.841720e-14
9	CD70	CD70 molecule	590	11	0	3	37	18	17	13	85	64	64	1.000000e-16	8.712600e-01	1.000000e-05	1.000000e-16	8.841720e-14
10	ZFP36L1	zinc finger protein 36, C3H type-like 1	1197	0	0	34	46	6	26	5	83	59	48	1.000000e-16	1.875000e-04	6.293125e-01	1.000000e-16	8.841720e-14
11	ETV6	ets variant gene 6 (TEL oncogene)	1387	0	0	7	23	5	32	9	69	58	32	1.000000e-16	1.000000e-05	1	1.000000e-16	8.841720e-14
12	CCND3	cyclin D3	944	0	0	5	26	8	0	23	57	56	27	9.882614e-16	1.000000e-05	8.365800e-01	1.000000e-16	8.841720e-14
13	NOTCH2	Notch homolog 2 (Drosophila)	7548	0	0	5	15	28	0	14	57	53	41	1.000000e-16	2.714286e-04	9.464000e-01	1.000000e-16	8.841720e-14
14	BCL10	B-cell CLL/lymphoma 10	710	0	0	6	19	32	0	12	63	52	33	1.000000e-16	1.000000e-05	1	1.000000e-16	8.841720e-14
15	POU2F2	POU class 2 homeobox 2	1446	49	0	3	38	2	3	6	49	46	30	1.000000e-16	3.000000e-05	4.120600e-01	1.000000e-16	8.841720e-14
16	TOX	thymocyte selection-associated high mobility group box	1613	17	0	4	8	3	24	4	39	34	18	2.877838e-15	1.000000e-05	9.998500e-01	1.000000e-16	8.841720e-14
17	CDKN2A	cyclin-dependent kinase inhibitor 2A (melanoma, p16, inhibits CDK4)	1002	0	0	4	9	23	3	0	35	33	17	1.609558e-16	1.976300e-01	1.000000e-05	1.000000e-16	8.841720e-14
18	RHOA	ras homolog gene family, member A	918	119	0	1	32	0	0	1	33	30	20	1.000000e-16	1.000000e-05	7.173200e-01	1.000000e-16	8.841720e-14
19	ZNF444	zinc finger protein 444	996	1	0	1	1	0	0	29	30	30	3	1.000000e-16	1.000000e-05	8.380000e-01	1.000000e-16	8.841720e-14
20	GDF1	growth differentiation factor 1	1147	1	0	1	6	0	0	15	21	19	7	1.717968e-16	1.000000e-05	9.705300e-01	1.000000e-16	8.841720e-14
21	PRDM1	PR domain containing 1, with ZNF domain	2513	19	0	7	27	15	22	14	78	63	59	1.000000e-16	1.600000e-02	1.600000e-01	1.110223e-16	8.841720e-14
22	LOC729991-MEF2B		1128	9	0	4	45	3	5	6	59	58	45	1.000000e-16	1.070000e-01	3.100000e-02	1.110223e-16	8.841720e-14
23	UBE2A	ubiquitin-conjugating enzyme E2A (RAD6 homolog)	479	18	0	0	28	4	6	4	42	38	35	1.000000e-16	1.600000e-02	1.580000e-01	1.110223e-16	8.841720e-14
24	B2M	beta-2-microglobulin	374	0	1	2	30	21	9	20	80	68	46	3.781717e-16	5.900000e-03	4.869000e-01	2.220446e-16	1.694663e-13
25	KRAS	v-Ki-ras2 Kirsten rat sarcoma viral oncogene homolog	709	50	0	0	25	0	0	0	25	25	13	9.284808e-13	1.000000e-05	7.634000e-01	3.330669e-16	2.440315e-13
26	ZEB2	zinc finger E-box binding homeobox 2	3681	5	0	5	7	9	9	17	42	38	36	2.560239e-16	2.200000e-02	1	4.440892e-16	3.128608e-13
27	TMEM30A	transmembrane protein 30A	1110	24	0	0	9	26	8	13	56	51	43	1.000000e-16	1.030000e-01	1.140000e-01	5.551115e-16	3.631421e-13
28	HLA-C	major histocompatibility complex, class I, C	1131	1	0	0	12	6	5	3	26	23	20	1.388979e-12	6.900000e-04	2.000000e-05	5.551115e-16	3.631421e-13
