Driver	Classifier Footprint	integral	Total BP Count
IG_SVs	0	0	85800
SV.BCL6	0	0	15120
SV.BCL2	0	0	6077
SV.MYC	0	0	21120
MYD88.OTHER	0	22793	970
MYD88.L265P	0	22793	1
TMSB4X	139	139	139
CRIP1	247	386	247
HIST1H2BD	385	771	385
HIST1H2BC	387	1158	387
B2M	391	1549	391
HIST1H2AM	393	1942	393
HIST1H2AC	397	2339	397
UBE2A	479	2818	479
BTG2	481	3299	481
BTG1	520	3819	520
FADD	631	4450	631
CD83	634	5084	634
SOCS1	636	5720	636
HIST1H1C	642	6362	642
IGLL5	656	7018	656
HIST1H1E	660	7678	660
HIST1H1D	666	8344	666
HIST1H1B	681	9025	681
BCL10	710	9735	710
CD79B	713	10448	713
BCL7A	716	11164	716
KRAS	727	11891	727
RHOA	739	12630	739
LTB	751	13381	751
BCL2	755	14136	755
RAC2	757	14893	757
CD70	771	15664	771
POU2AF1	787	16451	787
CD58	790	17241	790
HVCN1	856	18097	856
CD274	893	18990	893
TNFRSF14	913	19903	913
DUSP2	957	20860	957
PIM1	962	21822	962
MYD88	971	22793	971
NFKBIA	974	23767	974
FAS	1059	24826	1059
CXCR4	1088	25914	1088
TMEM30A	1110	27024	1110
HLA.B	1113	28137	1113
HLA.A	1145	29282	1145
GNA13	1146	30428	1146
HLA.C	1147	31575	1147
ACTB	1148	32723	1148
X9P24.1.AMP	1200	33923	1787837
X17Q25.1.DEL	1200	35123	403000
X11Q23.3.AMP	1200	36323	544854
X17Q24.3.AMP	1200	37523	207257
X19Q13.32.1.DEL	1200	38723	220895
X19P13.3.DEL	1200	39923	697127
X6P21.33.DEL	1200	41123	1798956
X14Q32.31.DEL	1200	42323	770741
X1P36.11.DEL	1200	43523	1935902
X2P16.1.AMP	1200	44723	153370
X8Q24.22.AMP	1200	45923	358450
X19P13.2.DEL	1200	47123	135229
GRHPR	1233	48356	1233
PTEN	1244	49600	1244
GNAI2	1249	50849	1249
VMP1	1261	52110	1261
YY1	1261	53371	1261
MAP2K1	1264	54635	1264
MEF2B	1272	55907	1272
X6Q14.1.DEL	1320	57227	2012731
X3Q28.AMP	1320	58547	2034782
IRF8	1333	59880	1333
ETV6	1387	61267	1387
EEF1A1	1413	62680	1413
TP53	1422	64102	1422
X10Q23.31.DEL	1440	65542	2244847
NFKBIE	1523	67065	1523
IKZF3	1559	68624	1559
X12P13.2.DEL	1560	70184	2407345
SESN3	1561	71745	1561
ETS1	1578	73323	1578
LYN	1587	74910	1587
TBL1XR1	1597	76507	1597
TOX	1613	78120	1613
MEF2C	1624	79744	1624
ZFP36L1	1729	81473	1729
IRF2BP2	1768	83241	1768
X3P21.31.DEL	1800	85041	2812780
X8Q12.1.DEL	1800	86841	2923724
ZC3H12A	1816	88657	1816
EBF1	1836	90493	1836
KLHL6	1890	92383	1890
DTX1	1895	94278	1895
POU2F2	1934	96212	1934
PABPC1	1966	98178	1966
PTPN6	2003	100181	2003
CCDC27	2015	102196	2015
X18Q23.DEL	2040	104236	3376782
TNIP1	2046	106282	2046
BCL6	2151	108433	2151
SGK1	2212	110645	2212
X1P36.32.DEL	2280	112925	3774223
OSBPL10	2339	115264	2339
EZH2	2351	117615	2351
BRAF	2369	119984	2369
TNFAIP3	2401	122385	2401
STAT3	2405	124790	2405
PRDM1	2513	127303	2513
X19Q13.42.AMP	2760	130063	4419437
X13Q14.2.DEL	2760	132823	4599475
X15Q15.3.DEL	2760	135583	4525371
X1P13.1.DEL	2760	138343	4515780
X2Q22.2.DEL	3000	141343	4946747
TUBGCP5	3208	144551	3208
ATP2A2	3221	147772	3221
X18P.AMP	3480	151252	17200001
CARD11	3557	154809	3557
X1P31.1.DEL	3600	158409	5877832
X6P21.1.AMP	3600	162009	5970450
ZEB2	3677	165686	3677
ZNF423	3883	169569	3883
X9P21.3.DEL	3960	173529	6412907
SMG7	3997	177526	3997
SF3B1	4081	181607	4081
ZNF608	4571	186178	4571
X17P.DEL	4920	191098	24000001
X7Q22.1.AMP	5640	196738	9341641
TET2	6197	202935	6197
X19Q.AMP	6600	209535	32628984
X3Q28.DEL	6720	216255	11018702
X21Q.AMP	7080	223335	34929896
X12P.AMP	7200	230535	35800001
EP300	7365	237900	7365
CREBBP	7449	245349	7449
NOTCH2	7624	252973	7624
X6Q21.DEL	8520	261493	14091494
X13Q34.DEL	9000	270493	14968431
X5P.AMP	9720	280213	48400001
X11P.AMP	10800	291013	53700001
SPEN	11051	302064	11051
X4Q21.22.DEL	11760	313824	19434436
X7P.AMP	12000	325824	59900001
X18Q.AMP	12240	338064	60877249
X6P.AMP	12240	350304	61000001
X1Q32.1.AMP	14040	364344	23231623
X18Q22.2.AMP	15360	379704	25473122
X18Q21.32.AMP	15360	395064	0
X11Q.AMP	16320	411384	81306517
KMT2D	16826	428210	16826
X16Q12.1.DEL	18120	446330	30177469
X3P.AMP	18240	464570	91000001
X9Q.AMP	18480	483050	92213432
X1Q42.12.DEL	18960	502010	31466919
X13Q.AMP	19560	521570	97269879
X12Q.AMP	19680	541250	98051896
X7Q.AMP	19920	561170	99238664
X3Q.AMP	21480	582650	107022431
X6Q.DEL	22080	604730	110115068
X1Q.AMP	24960	629690	124250622
X5Q.AMP	26520	656210	132515261
X4Q35.1.DEL	27120	683330	45077682
X1Q23.3.AMP	32640	715970	54211321
X9Q21.13.DEL	39120	755090	65115837
