Driver	Classifier Footprint	integral	Total BP Count
IG_SVs	0	0	85800
SV.BCL6	0	0	15120
SV.MYC	0	0	21120
SV.BCL2	0	0	6077
X19Q13.32.DEL	0	0	0
MYD88.L265P	0	22577	1
MYD88.OTHER	0	22577	970
TMSB4X	139	139	139
CRIP1	247	386	247
HIST1H2BC	387	773	387
B2M	391	1164	391
HIST1H2AM	393	1557	393
HIST1H2AC	397	1954	397
UBE2A	479	2433	479
BTG2	481	2914	481
BTG1	520	3434	520
FADD	631	4065	631
CD83	634	4699	634
SOCS1	636	5335	636
HIST1H1C	642	5977	642
IGLL5	656	6633	656
HIST1H1E	660	7293	660
HIST1H1D	666	7959	666
HIST1H1B	681	8640	681
BCL10	710	9350	710
CD79B	713	10063	713
BCL7A	716	10779	716
KRAS	727	11506	727
RHOA	739	12245	739
LTB	751	12996	751
BCL2	755	13751	755
RAC2	757	14508	757
CD70	771	15279	771
CD58	790	16069	790
HVCN1	856	16925	856
CD274	893	17818	893
TNFRSF14	913	18731	913
PIM2	956	19687	956
DUSP2	957	20644	957
PIM1	962	21606	962
MYD88	971	22577	971
NFKBIA	974	23551	974
CCND3	1036	24587	1036
FAS	1059	25646	1059
CXCR4	1088	26734	1088
TMEM30A	1110	27844	1110
HLA.B	1113	28957	1113
CXCR5	1123	30080	1123
HLA.A	1145	31225	1145
GNA13	1146	32371	1146
HLA.C	1147	33518	1147
ACTB	1148	34666	1148
X6P21.33.DEL	1200	35866	1798956
X9P24.1.AMP	1200	37066	1787837
X19P13.3.DEL	1200	38266	697127
X17Q25.1.DEL	1200	39466	403000
X17Q24.3.AMP	1200	40666	207257
X11Q23.3.AMP	1200	41866	544854
X8Q24.22.AMP	1200	43066	358450
X1P36.11.DEL	1200	44266	1935902
X19P13.2.DEL	1200	45466	135229
X2P16.1.AMP	1200	46666	153370
X14Q32.31.DEL	1200	47866	770741
GRHPR	1233	49099	1233
PTEN	1244	50343	1244
GNAI2	1249	51592	1249
YY1	1261	52853	1261
MAP2K1	1264	54117	1264
MEF2B	1272	55389	1272
X3Q28.AMP	1320	56709	2034782
X6Q14.1.DEL	1320	58029	2012731
IRF8	1333	59362	1333
IRF4	1384	60746	1384
ETV6	1387	62133	1387
EEF1A1	1413	63546	1413
TP53	1422	64968	1422
X10Q23.31.DEL	1440	66408	2244847
NFKBIE	1523	67931	1523
IKZF3	1559	69490	1559
X12P13.2.DEL	1560	71050	2407345
SESN3	1561	72611	1561
LYN	1587	74198	1587
TBL1XR1	1597	75795	1597
TOX	1613	77408	1613
MEF2C	1624	79032	1624
ZFP36L1	1729	80761	1729
IRF2BP2	1768	82529	1768
X8Q12.1.DEL	1800	84329	2923724
X3P21.31.DEL	1800	86129	2812780
ZC3H12A	1816	87945	1816
EBF1	1836	89781	1836
KLHL6	1890	91671	1890
DTX1	1895	93566	1895
POU2F2	1934	95500	1934
PABPC1	1966	97466	1966
PTPN6	2003	99469	2003
CCDC27	2015	101484	2015
X18Q23.DEL	2040	103524	3376782
TNIP1	2046	105570	2046
BCL6	2151	107721	2151
SGK1	2212	109933	2212
X1P36.32.DEL	2280	112213	3774223
OSBPL10	2339	114552	2339
ARHGAP25	2340	116892	2340
EZH2	2351	119243	2351
BRAF	2369	121612	2369
TNFAIP3	2401	124013	2401
STAT3	2405	126418	2405
PRDM1	2513	128931	2513
BCL11A	2624	131555	2624
X15Q15.3.DEL	2760	134315	4525371
X13Q14.2.DEL	2760	137075	4599475
X1P13.1.DEL	2760	139835	4515780
X19Q13.42.AMP	2760	142595	4419437
X2Q22.2.DEL	3000	145595	4946747
TUBGCP5	3208	148803	3208
ATP2A2	3221	152024	3221
X18P.AMP	3480	155504	17200001
CARD11	3557	159061	3557
X1P31.1.DEL	3600	162661	5877832
X6P21.1.AMP	3600	166261	5970450
ZEB2	3677	169938	3677
ZNF423	3883	173821	3883
X9P21.3.DEL	3960	177781	6412907
SMG7	3997	181778	3997
SF3B1	4081	185859	4081
X17P.DEL	4920	190779	24000001
X7Q22.1.AMP	5640	196419	9341641
TET2	6197	202616	6197
X19Q.AMP	6600	209216	32628984
X3Q28.DEL	6720	215936	11018702
X21Q.AMP	7080	223016	34929896
X12P.AMP	7200	230216	35800001
EP300	7365	237581	7365
CREBBP	7449	245030	7449
NOTCH2	7624	252654	7624
X6Q21.DEL	8520	261174	14091494
X13Q34.DEL	9000	270174	14968431
X5P.AMP	9720	279894	48400001
X11P.AMP	10800	290694	53700001
SPEN	11051	301745	11051
X4Q21.22.DEL	11760	313505	19434436
X7P.AMP	12000	325505	59900001
X18Q.AMP	12240	337745	60877249
X6P.AMP	12240	349985	61000001
X1Q32.1.AMP	14040	364025	23231623
X18Q22.2.AMP	15360	379385	25473122
X18Q21.32.AMP	15360	394745	0
X11Q.AMP	16320	411065	81306517
KMT2D	16826	427891	16826
X16Q12.1.DEL	18120	446011	30177469
X3P.AMP	18240	464251	91000001
X9Q.AMP	18480	482731	92213432
X1Q42.12.DEL	18960	501691	31466919
X13Q.AMP	19560	521251	97269879
X12Q.AMP	19680	540931	98051896
X7Q.AMP	19920	560851	99238664
X3Q.AMP	21480	582331	107022431
X6Q.DEL	22080	604411	110115068
X1Q.AMP	24960	629371	124250622
X5Q.AMP	26520	655891	132515261
X4Q35.1.DEL	27120	683011	45077682
X1Q23.3.AMP	32640	715651	54211321
X9Q21.13.DEL	39120	754771	65115837
